CHEM,CHEMID,CASNUM,TODAY,INITIALS,USERID,CREATED,MODIFIED
"(+)-EUDESMA-4(14),7(11)-DIENE-3-ONE","+EUDESMA414711DIENE3ONE","","","","DUKE","10-DEC-97",""
"(+)-EUDESMIN","+EUDESMIN","","","","DUKE","10-DEC-97",""
"(+)-FERRUGINOL","+FERRUGINOL","","","","DUKE","10-DEC-97",""
"(+)-GALLOCATECHIN","+GALLOCATECHIN","","","","DUKE","10-DEC-97",""
"(+)-GALLOCATECHOL","+GALLOCATECHOL","","","","DUKE","10-DEC-97",""
"(+)-GLAUCINE","+GLAUCINE","","","","DUKE","10-DEC-97",""
"(+)-HERNANDEZINE","+HERNANDEZINE","6681136","","","DUKE","10-DEC-97",""
"(+)-ISOBOLDINE","+ISOBOLDINE","5164932","","","DUKE","10-DEC-97",""
"(+)-ISOCORYDINE","+ISOCORYDINE","","","","DUKE","10-DEC-97",""
"(+)-ISOCORYNOLINE","+ISOCORYNOLINE","","","","DUKE","10-DEC-97",""
"(+)-ISOISOPULEGONE","+ISOISOPULEGONE","","","","DUKE","10-DEC-97",""
"(+)-ISOLARICIRESINOL","+ISOLARICIRESINOL","","","","DUKE","10-DEC-97",""
"(+)-ISOMENTHONE","+ISOMENTHONE","","","","DUKE","10-DEC-97",""
"(+)-ISOMINTLACTONE","+ISOMINTLACTONE","","","","DUKE","10-DEC-97",""
"(+)-ISOPULEGONE","+ISOPULEGONE","","","","DUKE","10-DEC-97",""
"(+)-JUNENOL","+JUNENOL","","","","DUKE","10-DEC-97",""
"(+)-KHUSITENE","+KHUSITENE","35043540","","","DUKE","10-DEC-97",""
"(+)-LEUCOCYANIDIN","+LEUCOCYANIDIN","","","","DUKE","10-DEC-97",""
"(+)-LIMONENE","+LIMONENE","","","","DUKE","10-DEC-97",""
"(+)-LONGIBORNEOL","+LONGIBORNEOL","","","","DUKE","10-DEC-97",""
"(+)-LUPANINE","+LUPANINE","","","","DUKE","10-DEC-97",""
"(+)-MAALIOXIDE","+MAALIOXIDE","","","","DUKE","10-DEC-97",""
"(+)-MATRINE","+MATRINE","","","","DUKE","10-DEC-97",""
"(+)-MEDICARPIN","+MEDICARPIN","","","","DUKE","10-DEC-97",""
"(+)-MEDIORESINOL-DI-O-BETA-D-GLUCOPYRANOSIDE","+MEDIORESINOLDIOBETADGLUCOPYRANOSIDE","","","","DUKE","10-DEC-97",""
"(+)-MENTHOFURAN","+MENTHOFURAN","","","","DUKE","10-DEC-97",""
"(+)-MENTHOL","+MENTHOL","","","","DUKE","10-DEC-97",""
"(+)-MENTHONE","+MENTHONE","","","","DUKE","10-DEC-97",""
"(+)-NEOISOMENTHOL","+NEOISOMENTHOL","","","","DUKE","10-DEC-97",""
"(+)-NEOMENTHOL","+NEOMENTHOL","","","","DUKE","10-DEC-97",""
"(+)-NEOPSEUDOEPHEDRINE?","+NEOPSEUDOEPHEDRINE","","","","DUKE","10-DEC-97",""
"(+)-NOOTKATONE","+NOOTKATONE","4674504","","","DUKE","10-DEC-97",""
"(+)-NORJUZIPHINE","+NORJUZIPHINE","","","","DUKE","10-DEC-97",""
"(+)-NORNANTENINE","+NORNANTENINE","","","","DUKE","10-DEC-97",""
"(+)-NORTRACHELOGENIN","+NORTRACHELOGENIN","","","","DUKE","10-DEC-97",""
"(+)-OCTAN-3-OL","+OCTAN3OL","","","","DUKE","10-DEC-97",""
"(+)-OCTAN-3-ONE","+OCTAN3ONE","","","","DUKE","10-DEC-97",""
"(+)-O-METHYLARMEPAVINE","+OMETHYLARMEPAVINE","","","","DUKE","10-DEC-97",""
"(+)-OXYSTACHYDRINE","+OXYSTACHYDRINE","","","","DUKE","10-DEC-97",""
"(+)-PINIFOLIC-ACID","+PINIFOLICACID","","","","DUKE","10-DEC-97",""
"(+)-PINORESINOL","+PINORESINOL","","","","DUKE","10-DEC-97",""
"(+)-PINORESINOL-BETA-D-GLUCOSIDE","+PINORESINOLBETADGLUCOSIDE","","","","DUKE","10-DEC-97",""
"(+)-PIPERITENONE-OXIDE","+PIPERITENONEOXIDE","","","","DUKE","10-DEC-97",""
"(+)-PIPERITONE","+PIPERITONE","","","","DUKE","10-DEC-97",""
"(+)-PISATIN","+PISATIN","20186225","","","DUKE","10-DEC-97",""
"(+)-PLATYDESMIN","+PLATYDESMIN","","","","DUKE","10-DEC-97",""
"(+)-PRAERUPTORUM-A","+PRAERUPTORUMA","","","","DUKE","10-DEC-97",""
"(+)-PRONUCIFERINE","+PRONUCIFERINE","","","","DUKE","10-DEC-97",""
"(+)-PSEUDOCOCAINE","+PSEUDOCOCAINE","","","","DUKE","10-DEC-97",""
"(+)-PSEUDOEPHEDRINE","+PSEUDOEPHEDRINE","","","","DUKE","10-DEC-97",""
"(+)-PULEGONE","+PULEGONE","","","","DUKE","10-DEC-97",""
"(+)-PYROCATECHOL","+PYROCATECHOL","","","","DUKE","10-DEC-97",""
"(+)-QUEBRACHAMINE","+QUEBRACHAMINE","14430172","","","DUKE","10-DEC-97",""
"(+)-RETICULINE","+RETICULINE","485198","","","DUKE","10-DEC-97",""
"(+)-SABINENE","+SABINENE","","","","DUKE","10-DEC-97",""
"(+)-SABINOL","+SABINOL","","","","DUKE","10-DEC-97",""
"(+)-SABINYL-ACETATE","+SABINYLACETATE","","","","DUKE","10-DEC-97",""
"(+)-SESAMIN","+SESAMIN","","","","DUKE","10-DEC-97",""
"(+)-S-METHYL-L-CYSTEINE-SULFOXIDE","+SMETHYLLCYSTEINESULFOXIDE","","","","DUKE","10-DEC-97",""
"(+)-SOLANONE","+SOLANONE","68860424","","","DUKE","10-DEC-97",""
"(+)-SPARTEINE","+SPARTEINE","","","","DUKE","10-DEC-97",""
"(+)-SYRINGARESINOL","+SYRINGARESINOL","6216826","","","DUKE","10-DEC-97",""
"(+)-SYRINGARESINOL-DI-O-BETA-D-GLUCOSIDE","+SYRINGARESINOLDIOBETADGLUCOSIDE","","","","DUKE","10-DEC-97",""
"(+)-TARTARIC-ACID","+TARTARICACID","","","","DUKE","10-DEC-97",""
"(+)-T-CADINOL","+TCADINOL","","","","DUKE","10-DEC-97",""
"(+)-TERPINEOL-(4)","+TERPINEOL4","","","","DUKE","10-DEC-97",""
"(+)-TRANS-ABSCISIC-ACID","+TRANSABSCISICACID","","","","DUKE","10-DEC-97",""
"(+)-TRANS-VERBENYL-ACETATE","+TRANSVERBENYLACETATE","","","","DUKE","10-DEC-97",""
"(+)-VALINE","+VALINE","7004037","","","DUKE","10-DEC-97",""
"(+)-VERBENONE","+VERBENONE","","","","DUKE","10-DEC-97",""
"(+)-VESTITONE","+VESTITONE","","","","DUKE","10-DEC-97",""
"(+)-VOMIFOLIOL","+VOMIFOLIOL","","","","DUKE","10-DEC-97",""
"10,11-(E)-6-OXO-DIHYDROATLANTONE","1011E6OXODIHYDROATLANTONE","","","","DUKE","10-DEC-97",""
"10,11-(E)-DIHYDROATLANTONE","1011EDIHYDROATLANTONE","","","","DUKE","10-DEC-97",""
"10,11-(Z)-DIHYDROATLANTONE","1011ZDIHYDROATLANTONE","","","","DUKE","10-DEC-97",""
"10,13-DIMETHYLPENTA-13-DECEN-1-AL","1013DIMETHYLPENTA13DECEN1AL","","","","DUKE","10-DEC-97",""
"10,16-DIHYDROXY-DECANOIC-ACID","1016DIHYDROXYDECANOICACID","","","","DUKE","10-DEC-97",""
"10,16-DIHYDROXY-HEXADECANOIC-ACID","1016DIHYDROXYHEXADECANOICACID","","","","DUKE","10-DEC-97",""
"10,6-HONOKIOL","106HONOKIOL","","","","DUKE","10-DEC-97",""
"10-ACETYLGENIPOSIDE","10ACETYLGENIPOSIDE","","","","DUKE","10-DEC-97",""
"10-(ALPHA)-CADINOL","10ALPHACADINOL","","","","DUKE","10-DEC-97",""
"10-DEACETYLCEPHALOMANNINE","10DEACETYLCEPHALOMANNINE","","","","DUKE","10-DEC-97",""
"10-DEACETYLTAXANE","10DEACETYLTAXANE","","","","DUKE","10-DEC-97",""
"10-DEHYDROGINGERDIONE","10DEHYDROGINGERDIONE","","","","DUKE","10-DEC-97",""
"10-EPI-(ALPHA)-CADINOL","10EPIALPHACADINOL","","","","DUKE","10-DEC-97",""
"10-EPI-ALPHA-CYPERONE","10EPIALPHACYPERONE","","","","DUKE","10-DEC-97","17-SEP-98"
"10-EPICANIN","10EPICANIN","","","","DUKE","10-DEC-97",""
"10-EPIEUPATOROXIN","10EPIEUPATOROXIN","","","","DUKE","10-DEC-97",""
"10-EPI-GAMMA-EUDESMOL","10EPIGAMMAEUDESMOL","","","","DUKE","10-DEC-97",""
"10-EPIJUNENOL","10EPIJUNENOL","","","","DUKE","10-DEC-97",""
"10-EPIJUNENYL-ACETATE","10EPIJUNENYLACETATE","","","","DUKE","10-DEC-97",""
"10-EPIZONARENE","10EPIZONARENE","","","","DUKE","10-DEC-97",""
"10-GINGEDIOL","10GINGEDIOL","","","","DUKE","10-DEC-97",""
"10-GINGERDIONE","10GINGERDIONE","","","","DUKE","10-DEC-97",""
"10-GINGEROL","10GINGEROL","","","","DUKE","10-DEC-97",""
"10-HEPTACOSANOL","10HEPTACOSANOL","","","","DUKE","10-DEC-97",""
"10-HYDROXY-1,2-METHYLENEDIOXYAPORPHINE","10HYDROXY12METHYLENEDIOXYAPORPHINE","","","","DUKE","10-DEC-97","17-SEP-98"
"10-HYDROXYCAMPTOTHECIN","10HYDROXYCAMPTOTHECIN","","","","DUKE","10-DEC-97",""
"10-HYDROXYOLEUROPEIN","10HYDROXYOLEUROPEIN","","","","DUKE","10-DEC-97",""
"10-METHOXYCAMPTOTHECIN","10METHOXYCAMPTOTHECIN","","","","DUKE","10-DEC-97",""
"10-METHOXY-DEACETYLAKUAMMILINE","10METHOXYDEACETYLAKUAMMILINE","","","","DUKE","10-DEC-97",""
"10-METHYL-7-UNDECANONE","10METHYL7UNDECANONE","","","","DUKE","10-DEC-97",""
"10-NONACOSANOL","10NONACOSANOL","","","","DUKE","10-DEC-97",""
"10-SHOGOAL","10SHOGOAL","","","","DUKE","10-DEC-97",""
"1(10)-ARISTOLEN-15-AL","110ARISTOLEN15AL","","","","DUKE","10-DEC-97",""
"1(10)-ARISTOLEN-2-ONE","110ARISTOLEN2ONE","","","","DUKE","10-DEC-97",""
"1(10)-ARISTOLENE","110ARISTOLENE","","","","DUKE","10-DEC-97",""
"1(10)-ARISTOLONE","110ARISTOLONE","","","","DUKE","10-DEC-97",""
"1,10-DIHYDRO-ALPHA-VETIVONE","110DIHYDROALPHAVETIVONE","","","","DUKE","10-DEC-97",""
"1,10-EPOXY-ALPHABULNESENE","110EPOXYALPHABULNESENE","","","","DUKE","10-DEC-97",""
"1,10-EPOXYNOBILIN","110EPOXYNOBILIN","","","","DUKE","10-DEC-97",""
"11,12-DEHYDROURSOLACTONE-ACETATE","1112DEHYDROURSOLACTONEACETATE","","","","DUKE","10-DEC-97",""
"11,12-DIMETHOXY-7-HYDROXYCOUMESTIN","1112DIMETHOXY7HYDROXYCOUMESTIN","","","","DUKE","10-DEC-97",""
"11,12-DIMETHOXYDIHYDROKAWAIN","1112DIMETHOXYDIHYDROKAWAIN","","","","DUKE","10-DEC-97",""
"11,13(13)-HOPADIENE","111313HOPADIENE","","","","DUKE","10-DEC-97",""
"11,13ALPHA-DIHYDROEUPERFOLIDE","1113ALPHADIHYDROEUPERFOLIDE","","","","DUKE","10-DEC-97",""
"11,13-DEHYDRODESACETYL-MATRICARIN","1113DEHYDRODESACETYLMATRICARIN","","","","DUKE","10-DEC-97",""
"11,13-DIHYDROTARAXIN-ACID-BETA-D-GLUCOPYRANOSYL-ESTER","1113DIHYDROTARAXINACIDBETADGLUCOPYRANOSYLESTER","","","","DUKE","10-DEC-97",""
"11,13-DIHYDROVERNOLADIN","1113DIHYDROVERNOLADIN","","","","DUKE","10-DEC-97",""
"1,11-DIMETHOXYCANTHIN-6-ONE","111DIMETHOXYCANTHIN6ONE","","","","DUKE","10-DEC-97",""
"1,11-TRIDECADIENE","111TRIDECADIENE","","","","DUKE","10-DEC-97",""
"1,11-TRIDECADIENE-3,5,7,9-TETRAYNE","111TRIDECADIENE3579TETRAYNE","","","","DUKE","10-DEC-97",""
"1-(1',2'-DIHYDROXYETHYL)-4-METHOXY-BETA-CARBOLINE","112DIHYDROXYETHYL4METHOXYBETACARBOLINE","","","","DUKE","10-DEC-97",""
"1,1,3-TRIMETHYL-CYCLOPENTAN-4-ONE","113TRIMETHYLCYCLOPENTAN4ONE","","","","DUKE","10-DEC-97",""
"1,1,3-TRIMETHYL-CYCLOPENTANONE","113TRIMETHYLCYCLOPENTANONE","","","","DUKE","10-DEC-97",""
"1,1,3-TRIMETHYLDECAHYDROCYCLOPROPAZULENE","113TRIMETHYLDECAHYDROCYCLOPROPAZULENE","","","","DUKE","10-DEC-97",""
"1,1,4-TRIMETHYLCYCLOHEPTA-2,4-DIEN-6-ONE","114TRIMETHYLCYCLOHEPTA24DIEN6ONE","","","","DUKE","10-DEC-97",""
"1,18-OCTADECANEDIOL","118OCTADECANEDIOL","3155439","","","DUKE","10-DEC-97",""
"11-ALLYL-CYTISINE","11ALLYLCYTISINE","","","","DUKE","10-DEC-97",""
"11-ALPHA-H-GALLICIN","11ALPHAHGALLICIN","","","","DUKE","10-DEC-97",""
"11-BETA-ACETOXYGEDUNIN","11BETAACETOXYGEDUNIN","","","","DUKE","10-DEC-97",""
"11-BETA-ACETOXYKHIVORIN","11BETAACETOXYKHIVORIN","","","","DUKE","10-DEC-97",""
"11BETA-HYDROXYMANOYL-OXIDE","11BETAHYDROXYMANOYLOXIDE","","","","DUKE","10-DEC-97",""
"11-DEHYDROPAPYRIOGENIN","11DEHYDROPAPYRIOGENIN","","","","DUKE","10-DEC-97",""
"11-DEOXO-GLABROLIDE","11DEOXOGLABROLIDE","","","","DUKE","10-DEC-97",""
"11-DEOXOJERVINE","11DEOXOJERVINE","","","","DUKE","10-DEC-97",""
"11-DEOXYGLYCYRRHETINIC-ACID","11DEOXYGLYCYRRHETINICACID","","","","DUKE","10-DEC-97",""
"11-DESOXOGLYCYRRHETINIC-ACID","11DESOXOGLYCYRRHETINICACID","","","","DUKE","10-DEC-97",""
"1,1-DIETHOXYHEXANE","11DIETHOXYHEXANE","","","","DUKE","10-DEC-97",""
"1,1-DIETHOXYOCTANE","11DIETHOXYOCTANE","","","","DUKE","10-DEC-97",""
"1,1-DIPHENYL-ETHANE","11DIPHENYLETHANE","","","","DUKE","10-DEC-97",""
"(11E,13R)-LABDA-11,14-DIENE-8,13-DIOL","11E13RLABDA1114DIENE813DIOL","","","","DUKE","10-DEC-97",""
"(11E,13S)-LABDA-11,14-DIENE-8,13-DIOL","11E13SLABDA1114DIENE813DIOL","","","","DUKE","10-DEC-97",""
"11-EICOSANIC-ACID","11EICOSANICACID","","","","DUKE","10-DEC-97",""
"11-EICOSENOIC-ACID","11EICOSENOICACID","","","","DUKE","10-DEC-97",""
"11E-TRIDECA-1,11-DIENE-3,5,7,9-TETRAYNE","11ETRIDECA111DIENE3579TETRAYNE","","","","DUKE","10-DEC-97",""
"11-HYDROXY-11-METHYL-ETHYL-6,10-DIMETHYL-SPIRO-(4,5)-DEC-6-EN-8-ONE","11HYDROXY11METHYLETHYL610DIMETHYLSPIRO45DEC6EN8ONE","","","","DUKE","10-DEC-97",""
"11-HYDROXY-12-METHOXYDIHYDROKAWAIN","11HYDROXY12METHOXYDIHYDROKAWAIN","","","","DUKE","10-DEC-97",""
"11-HYDROXYCAMPTOTHECIN","11HYDROXYCAMPTOTHECIN","","","","DUKE","10-DEC-97",""
"11-HYDROXYCANTHIN-6-ONE","11HYDROXYCANTHIN6ONE","","","","DUKE","10-DEC-97",""
"11-HYDROXYCEPHALOTAXINE","11HYDROXYCEPHALOTAXINE","","","","DUKE","10-DEC-97",""
"11-HYDROXY-DELTA-8-THC","11HYDROXYDELTA8THC","","","","DUKE","10-DEC-97",""
"11-HYDROXY-DELTA-9-THC","11HYDROXYDELTA9THC","","","","DUKE","10-DEC-97",""
"11-KETO-ALPHA-BOSWELLIC-ACID","11KETOALPHABOSWELLICACID","","","","DUKE","10-DEC-97",""
"11-METHOXY-DELTA-TOHIMBINE","11METHOXYDELTATOHIMBINE","","","","DUKE","10-DEC-97",""
"11-METHOXY-EBURNAMONINE","11METHOXYEBURNAMONINE","","","","DUKE","10-DEC-97",""
"11-METHOXYNORYANGONIN","11METHOXYNORYANGONIN","","","","DUKE","10-DEC-97",""
"11-METHOXYVINCAMINE","11METHOXYVINCAMINE","","","","DUKE","10-DEC-97",""
"11-METHOXYYANGONIN","11METHOXYYANGONIN","","","","DUKE","10-DEC-97",""
"11-METHOXYYOHIMBINE","11METHOXYYOHIMBINE","","","","DUKE","10-DEC-97",""
"11-METHYL-7-OXA-TETRACYCLODODECANE","11METHYL7OXATETRACYCLODODECANE","","","","DUKE","10-DEC-97",""
"1-(1-METHYL-CYCLOHEXYL)-2-HYDROXY-4-METHYL-BENZENE-MET.-CHAV","11METHYLCYCLOHEXYL2HYDROXY4METHYLBENZENEMETCHAV","","","","DUKE","10-DEC-97",""
"11-NOR-8-HYDROXY-9-DRIMENONE","11NOR8HYDROXY9DRIMENONE","","","","DUKE","10-DEC-97",""
"11-NORBOURBONANONE","11NORBOURBONANONE","","","","DUKE","10-DEC-97",""
"11-OCTADECENOIC-ACID","11OCTADECENOICACID","","","","DUKE","10-DEC-97",""
"11-O-METHYLDIHYDROCHELERYTHRINE","11OMETHYLDIHYDROCHELERYTHRINE","","","","DUKE","10-DEC-97",""
"11(S),13-DIHYDRO-8-DEOXYLACTUCIN","11S13DIHYDRO8DEOXYLACTUCIN","","","","DUKE","10-DEC-97",""
"11(S),13-DIHYDROLACTUCIN","11S13DIHYDROLACTUCIN","","","","DUKE","10-DEC-97",""
"11(S),13-DIHYDROLACTUCOPICRIN","11S13DIHYDROLACTUCOPICRIN","","","","DUKE","10-DEC-97",""
"11-SELINEN-4-ALPHA-OL","11SELINEN4ALPHAOL","","","","DUKE","10-DEC-97",""
"11Z-TRIDECA-1,11-DIENE-3,5,7,9-TETRAYNE","11ZTRIDECA111DIENE3579TETRAYNE","","","","DUKE","10-DEC-97",""
"1.2","12","","","","DUKE","10-DEC-97",""
"12,13-EPOXYOLEIC-ACID","1213EPOXYOLEICACID","","","","DUKE","10-DEC-97",""
"1,2,3,4,6-PENTAGALLOYLGLUCOSE","12346PENTAGALLOYLGLUCOSE","","","","DUKE","10-DEC-97",""
"1,2,3,4,6-PENTA-O-GALLOYL-BETA-D-GLUCOSE","12346PENTAOGALLOYLBETADGLUCOSE","","","","DUKE","10-DEC-97",""
"1,2,3,4,6-PENTA-O-GALLOYL-GLUCOSE","12346PENTAOGALLOYLGLUCOSE","","","","DUKE","10-DEC-97",""
"1,2,3,4-TETRAHYDRO-6-METHOXY-2,9-DIMETHYL-BETA-CARBOLINE","1234TETRAHYDRO6METHOXY29DIMETHYLBETACARBOLINE","","","","DUKE","10-DEC-97",""
"1,2,3,4-TETRAHYDRO-6-METHOXY-2-METHYL-BETA-CARBOLINE","1234TETRAHYDRO6METHOXY2METHYLBETACARBOLINE","6582805","","","DUKE","10-DEC-97",""
"1,2,3,6,7-PENTAMETHOXYXANTHONE","12367PENTAMETHOXYXANTHONE","","","","DUKE","10-DEC-97",""
"1,2,3,7-TETRAMETHOXYXANTHONE","1237TETRAMETHOXYXANTHONE","","","","DUKE","10-DEC-97",""
"1,2,3,9-TETRAHYDRO-5-METHOXYPYRROLO-(2,1-B)-QUINAZOLINE-3-OL","1239TETRAHYDRO5METHOXYPYRROLO21BQUINAZOLINE3OL","","","","DUKE","10-DEC-97",""
"1,2,3-TRIMETHOXY-5-METHYL-BENZENE","123TRIMETHOXY5METHYLBENZENE","","","","DUKE","10-DEC-97",""
"1,2,3-TRIMETHYL-BENZENE","123TRIMETHYLBENZENE","526738","","","DUKE","10-DEC-97",""
"1,2,4,6-TETRA-O-GALLOYL-BETA-D-GLUCOSE","1246TETRAOGALLOYLBETADGLUCOSE","","","","DUKE","10-DEC-97",""
"12-(4'-METHOXYPHENYL)-DAURICINE","124METHOXYPHENYLDAURICINE","","","","DUKE","10-DEC-97",""
"1,2,4-TRIHYDROXY-BENZENE","124TRIHYDROXYBENZENE","","","","DUKE","10-DEC-97",""
"1,2,4-TRIHYDROXYHEPTADECA-16-ENE","124TRIHYDROXYHEPTADECA16ENE","","","","DUKE","10-DEC-97",""
"1,2,4-TRIMETHOXYBENZENE","124TRIMETHOXYBENZENE","","","","DUKE","10-DEC-97",""
"1,2,4-TRIMETHYL-BENZENE","124TRIMETHYLBENZENE","95636","","","DUKE","10-DEC-97",""
"1,2,5,6-TETRAHYDROPURIDINE","1256TETRAHYDROPURIDINE","","","","DUKE","10-DEC-97",""
"1,2,5-TRIHYDROXY-BENZENE","125TRIHYDROXYBENZENE","","","","DUKE","10-DEC-97",""
"1,26-HEXACOSANEDIOL","126HEXACOSANEDIOL","15541012","","","DUKE","10-DEC-97",""
"1,26-HEXACOSANOL","126HEXACOSANOL","","","","DUKE","10-DEC-97",""
"1,2,6-TRI-O-GALLOYL-BETA-D-GLUCOSE","126TRIOGALLOYLBETADGLUCOSE","","","","DUKE","10-DEC-97",""
