LOCNUM,SOURCE,REPTRYLD,WEEDED,CULVATED,NUM,PLCO,LOCNO,VARYD,ANAVPRCP,BIOTEMP,SOIL,PH,RH,IRRIG,MINTEMP,MAXTEMP,GROWSEAS,YIELDLO,YIELDHI,PARTHARV,NFERT,PFERT,KFERT,PESTCIDE,HERBCIDE,SEEDLVL,MANURE,INTCROP,FUNGCIDE,RATOON,YRSOBS,AMTFERT,FERTRIAL,FROSTCO,ABSMINT,ABSMAXT,OTHFERT,YRW1,YRW2,YRSYLD,Y1YLD,Y2YLD,CONTYLD,CONTWEA,YMATCHW,VERIFIED,EXPTYPE,NTYPE,PTYPE,KTYPE,WEEDNUM,CULTNUM,WSS,TEMPORARY
"18436","XXX","","","","1013","571075002","0281","","1030","16.9","","6","75","R","10.9","22.9","","10000","20000","FR","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18436","XXX","","","","1015","580734002","0281","","1030","16.9","","6","75","R","10.9","22.9","","7000","14000","IN","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18436","XXX","","","","1003","274037001","0281","","1030","16.9","","6","75","R","10.9","22.9","","2000","10000","FR","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18436","XXX","","","","1007","283430002","0281","","1030","16.9","","6","75","R","10.9","22.9","","1000","2000","SD","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18436","XXX","","","","1014","580471001","0281","","1030","16.9","","6","75","R","10.9","22.9","","1000","2000","SD","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18436","XXX","","","","1011","520036002","0281","","1030","16.9","","6","75","R","10.9","22.9","","10000","20000","TU","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18436","XXX","","","","1008","293003001","0281","","1030","16.9","","6","75","R","10.9","22.9","","1000","1500","SD","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18436","XXX","","","","999","38104003","0281","","1030","16.9","","6","75","R","10.9","22.9","","800","1000","SD","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18436","XXX","","","","1006","283421001","0281","","1030","16.9","","6","75","R","10.9","22.9","","1000","1500","SD","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18436","XXX","","","","1004","274078010","0281","","1030","16.9","","6","75","R","10.9","22.9","","5000","25000","FR","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18436","XXX","","","","1005","274078011","0281","","1030","16.9","","6","75","R","10.9","22.9","","3000","10000","FR","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18436","XXX","","","","1012","540031016","0281","","1030","16.9","","6","75","R","10.9","22.9","","10000","15000","TU","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18436","XXX","","","","1001","38355004","0281","","1030","16.9","","6","75","R","10.9","22.9","","2000","4000","SD","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18436","XXX","","","","1000","38308001","0281","","1030","16.9","","6","75","R","10.9","22.9","","1000","2500","SD","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18436","XXX","","","","998","38002001","0281","","1030","16.9","","6","75","R","10.9","22.9","","5000","10000","SD","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18375","XXX","","","","696","375041005","0220","","704","20","","7.5","65","0","12.3","28","","800","2000","FR","100","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","N","","","","","1",""
"18375","XXX","","","","697","375041005","0220","","704","20","","7.5","65","R","12.3","28","","30","800","FR","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18375","XXX","","","","698","580471001","0220","","704","20","","7.5","65","R","12.3","28","","100","3000","SD","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18375","XXX","","","","694","283254006","0220","","704","20","","7.5","65","0","12.3","28","","5000","20000","PX","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18375","XXX","","","","695","283254006","0220","","704","20","","7.5","65","R","12.3","28","","2000","6000","PX","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18375","XXX","","","","690","38355002","0220","","704","20","","7.5","65","R","12.3","28","","500","5000","SD","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18375","XXX","","","","691","38355002","0220","","704","20","","7.5","65","0","12.3","28","","2000","6000","SD","100","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","N","","","","","1",""
"18375","XXX","","","","692","38355004","0220","","704","20","","7.5","65","R","12.3","28","","1500","5500","PX","","","","","","","","","","1","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18375","XXX","","","","693","38355004","0220","","704","20","","7.5","65","0","12.3","28","","15000","25000","PX","200","","","","","","","","","5","10","","","7","","","","","","","","","","","","V","","N","","","","","1",""
"18375","XXX","","","","689","38308001","0220","","704","20","","7.5","65","R","12.3","28","","300","5000","SD","","","","","","","","","","","10","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18393","XXX","","","","701","540028001","0238","","975","23.9","","7","69","5","17.9","28.1","364","7000","25000","FR","100","40","30","","","","","","","","30","","","3","","","","","","","","","","","","V","","N","P","K","","","1",""
"18393","XXX","","","","704","571051002","0238","","975","23.9","","7","69","5","17.9","28.1","364","10000","30000","FR","100","40","30","","","","","","","","30","","","3","","","","","","","","","","","","V","","N","P","K","","","1",""
"18393","XXX","","","","705","571052002","0238","","975","23.9","","7","69","5","17.9","28.1","364","10000","20000","FR","100","40","30","","","","","","","","30","","","3","","","","","","","","","","","","V","","N","P","K","","","1",""
"18393","XXX","","","","706","571052003","0238","","975","23.9","","7","69","5","17.9","28.1","364","10000","25000","FR","100","40","30","","","","","","","","30","","","3","","","","","","","","","","","","V","","N","P","K","","","1",""
"18393","XXX","","","","703","540084001","0238","","975","23.9","","7","69","5","17.9","28.1","364","15000","30000","FR","100","40","30","","","","","","","","30","","","3","","","","","","","","","","","","V","","N","P","K","","","1",""
"18393","XXX","","","","700","338003001","0238","","975","23.9","","7","69","R","17.9","28.1","364","7000","21000","FR","","","","","","","","","","","30","","","3","","","","","","20","","","","","","V","","","","","","","1",""
"18393","XXX","","","","699","283467005","0238","","975","23.9","","7","69","5","17.9","28.1","364","800","2000","SD","100","25","","","","","","","","","30","","","3","","","","","","","","","","","","V","","N","P","","","","1",""
"18393","XXX","","","","702","540031011","0238","","975","23.9","","7","69","5","17.9","28.1","364","30000","60000","FR","100","40","30","","","","","","","","30","","","3","","","","","","","","","","","","V","","N","P","K","","","1",""
"18201","XXX","","","","72","38310002","0043","","626","16.4","","5.8","61","R","11.9","20.9","364","600","1380","SD","","","","","","","","","","","49","","","2","","","","","","11","1964","1974","Y","","","V","","","","","","","1",""
"18201","XXX","1112","","","73","283421001","0043","","626","16.4","","5.8","61","R","11.9","20.9","364","","","SD","","","","","","","","","","","49","","","2","","","","","","","","","","","","V","","","","","","","1",""
"18201","XXX","","","","71","38308001","0043","","626","16.4","","5.8","61","R","11.9","20.9","364","632","1493","SD","","","","","","","","","","","49","","","2","","","","","","14","1961","1974","Y","","","V","","","","","","","1",""
"18448","XXX","","","","1093","126065001","0294","","769","12.3","","","65","0","5.8","16.9","180","2500","5000","IN","","","","","","","","","","","16","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18448","XXX","","","","1097","274098002","0294","","769","12.3","","","65","0","5.8","16.9","180","20000","120000","FR","","","","","","","","","","","16","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18448","XXX","","","","1095","274023001","0294","","769","12.3","","","65","0","5.8","16.9","180","10000","50000","FR","","","","","","","","","","","16","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18448","XXX","","","","1094","243073002","0294","","769","12.3","","","65","0","5.8","16.9","180","2500","15000","FR","","","","","","","","","","","16","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18448","XXX","","","","1096","274036016","0294","","769","12.3","","","65","0","5.8","16.9","180","1500","10000","FR","","","","","","","","","","","16","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18411","XXX","1200","","","826","464250001","0256","","1382","10.9","","5.2","","0","7.1","14.7","200","","","RT","X","X","X","","","","","","","","12","","","5","","","","","","","","","","","","V","","NX","PX","KX","","","1",""
"18411","XXX","1800","","","825","274037003","0256","","1382","10.9","","5.2","","0","7.1","14.7","200","","","FR","X","X","X","","","","","","","","12","","","5","","","","","","","","","","","","V","","NX","PX","KX","","","1",""
"18411","XXX","","","","827","540031016","0256","","1382","10.9","","5.2","","0","7.1","14.7","200","1200","1800","RT","X","X","X","","","","","","","","12","","","5","","","","","","","","","","","","V","","NX","PX","KX","","","1",""
"18478","XXX","","","","1305","38361002","0324","","363","16","","7.7","","0","9.5","22.4","200","800","1050","SD","50","","","","","","","","","","30","","","X","","","","","","","","","","","","V","","N","","","","","1",""
"18478","XXX","887","","","1304","38310002","0324","","363","16","","7.7","","R","9.5","22.4","200","","","SD","50","12","","","","","","","","","30","","","X","","","","","","","","","","","","V","","N","P","","","","1",""
"18478","XXX","","","","1303","38002001","0324","","363","16","","7.7","","0","9.5","22.4","200","2200","5100","SD","150","30","","","","","","","","","30","","","X","","","","","","","","","","","","V","","N","P","","","","1",""
"18442","XXX","","","","1064","38173004","0288","","621","14.1","","6","72","R","9.3","18.9","205","1000","3000","SD","","200","","","","","","","","","17","","","1","","","","","","","","","","","","V","","","OSP","","","","1",""
"18442","XXX","","","","1065","38173004","0288","","621","14.1","","6","72","R","9.3","18.9","205","1500","6000","PX","","200","","","","","","","","","17","","","1","","","","","","","","","","","","V","","","OSP","","","","1",""
"18442","XXX","","","","1067","226087014","0288","","621","14.1","","6","72","R","9.3","18.9","205","0","5000","PX","","200","","","","","","","","","17","","","1","","","","","","","","","","","","V","","","OSP","","","","1",""
"18442","XXX","","","","1066","38295002","0288","","621","14.1","","6","72","R","9.3","18.9","205","6000","8000","PX","","200","","","","","","","","","17","","","1","","","","","","","","","","","","V","","","OSP","","","","1",""
"18442","XXX","","","","1068","283238002","0288","","621","14.1","","6","72","R","9.3","18.9","205","1000","2000","SD","","200","","","","","","","","","17","","","1","","","","","","","","","","","","V","","","OSP","","","","1",""
"18442","XXX","","","","1069","283256011","0288","","621","14.1","","6","72","R","9.3","18.9","205","6000","10000","PX","","200","","","","","","","","","17","","","1","","","","","","","","","","","","V","","","OSP","","","","1",""
"18364","XXX","","","","677","464112004","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","20000","30000","","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","","","","672","226219001","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","6000","10000","RT","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","","","","669","150008001","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","30000","40000","RT","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","","","","670","226087008","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","20000","30000","PX","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","","","","671","226087013","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","30000","40000","PX","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","","","","679","540028008","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","15000","20000","FR","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","","","","687","580823001","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","20000","30000","PX","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","","","","683","571052003","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","25000","30000","FR","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","","","","684","571052003","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","50000","80000","FR","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","","","","685","571075005","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","50000","80000","FR","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","","","","686","571075005","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","500","1000","SD","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","","","","678","464250001","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","40000","60000","RT","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","","","","674","283430002","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","1500","2000","SD","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","","","","688","580866001","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","15000","20000","PX","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","","","","682","540084001","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","8000","12000","FR","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","","","","681","540058001","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","2000","3000","PX","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","3000","","","675","283467003","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","","","SD","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","","","","676","283467005","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","10000","15000","FR","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","","","","673","283421001","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","3000","5000","SD","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18364","XXX","30000","","","680","540031011","0209","","1204","8.7","","6.5","76","R","-.7","22.4","","","","FR","","","","","","","","","","","5","","","7","","","","","","","","","","","","V","","","","","","","1",""
"18400","XXX","","","","741","38173004","0245","","752","9.7","","6.8","81","R","5.8","13.5","199","3000","4500","SD","60","50","90","","","","","","","","13","","","7","","","","1962","1974","","","","","Y","","V","","N","PO","KO","","","1",""
"18400","XXX","","","","749","150008001","0245","","752","9.7","","6.8","81","R","5.8","13.5","199","80000","160000","RT","125","125","175","","","","","","","","13","","","7","","","","1962","1974","","","","","Y","","V","","N","PO","KO","","","1",""
"18400","XXX","","","","750","150008001","0245","","752","9.7","","6.8","81","R","5.8","13.5","199","40000","65000","RT","150","125","200","","","","","","","","13","","","7","","","","1962","1974","","","","","Y","","V","","N","PO","KO","","","1",""
"18400","XXX","","","","751","226087014","0245","","752","9.7","","6.8","81","R","5.8","13.5","199","2000","50000","PX","80","0","80","","","","","","","","13","","","7","","","","1962","1974","","","","","Y","","V","","N","PO","KO","","","1",""
"18400","XXX","","","","747","38310002","0245","","752","9.7","","6.8","81","R","5.8","13.5","199","2500","5000","SD","60","50","90","","","","","","","","13","","","7","","","","1962","1974","","","","","Y","","V","","N","PO","KO","","","1",""
"18400","XXX","","","","748","38310002","0245","","752","9.7","","6.8","81","R","5.8","13.5","199","3000","5500","SD","60","50","90","","","","","","","","13","","","7","","","","1962","1974","","","","","Y","","V","","N","PO","KO","","","1",""
"18400","XXX","","","","753","293003001","0245","","752","9.7","","6.8","81","R","5.8","13.5","199","7000","12000","PX","20","100","150","","","","","","","","13","","","7","","","","1962","1974","","","","","Y","","V","","N","PO","KO","","","1",""
"18400","XXX","","","","742","38295001","0245","","752","9.7","","6.8","81","R","5.8","13.5","199","10000","17000","PX","350","150","400","","","","","","","4","13","","","7","","","","1962","1974","","","","","Y","","V","","N","PO","KO","","","1",""
"18400","XXX","","","","743","38295002","0245","","752","9.7","","6.8","81","R","5.8","13.5","199","8000","14000","PX","275","100","100","","","","","","","","13","","","7","","","","1962","1974","","","","","Y","","V","","N","PO","KO","","","1",""
"18400","XXX","","","","752","283421001","0245","","752","9.7","","6.8","81","R","5.8","13.5","199","2500","5000","SD","0","100","150","","","","","","","","13","","","7","","","","1962","1974","","","","","Y","","V","","N","PO","KO","","","1",""
"18400","XXX","","","","744","38307001","0245","","752","9.7","","6.8","81","R","5.8","13.5","199","2500","4000","SD","60","50","90","","","","","","","","13","","","7","","","","1962","1974","","","","","Y","","V","","N","PO","KO","","","1",""
"18400","XXX","","","","754","540031016","0245","","752","9.7","","6.8","81","R","5.8","13.5","199","25000","45000","TU","100","125","150","","","","","","","","13","","","7","","","","1962","1974","","","","","Y","","V","","N","PO","KO","","","1",""
"18400","XXX","","","","745","38308001","0245","","752","9.7","","6.8","81","R","5.8","13.5","199","3000","6000","SD","75","50","90","","","","","","","","13","","","7","","","","1962","1974","","","","","Y","","V","","N","PO","KO","","","1",""
"18400","XXX","","","","746","38308001","0245","","752","9.7","","6.8","81","R","5.8","13.5","199","2500","5000","SD","60","50","90","","","","","","","","13","","","7","","","","1962","1974","","","","","Y","","V","","N","PO","KO","","","1",""
"18400","XXX","","","","740","38002001","0245","","752","9.7","","6.8","81","R","5.8","13.5","199","10000","15000","PX","180","180","225","","","","","","","","13","","","7","","","","1962","1974","","","","","Y","","V","","N","PO","KO","","","1",""
"18426","XXX","","","","887","73108001","0271","","688","9.9","","6.5","","R","6.1","13.7","","20000","45000","PL","160","100","160","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","900","464112001","0271","","688","9.9","","6.5","","R","6.1","13.7","","35000","60000","PX","200","100","200","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","882","38173004","0271","","688","9.9","","6.5","","R","6.1","13.7","","3000","5000","SD","70","90","130","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","889","150008001","0271","","688","9.9","","6.5","","R","6.1","13.7","","20000","35000","LF","190","120","280","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","890","150008001","0271","","688","9.9","","6.5","","R","6.1","13.7","","50000","100000","RT","190","120","280","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","891","150008001","0271","","688","9.9","","6.5","","R","6.1","13.7","","35000","60000","RT","175","140","260","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","892","226087008","0271","","688","9.9","","6.5","","R","6.1","13.7","","7500","15000","IN","300","120","400","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","893","226087009","0271","","688","9.9","","6.5","","R","6.1","13.7","","25000","50000","PX","250","120","300","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","894","226087014","0271","","688","9.9","","6.5","","R","6.1","13.7","","30000","70000","PL","100","85","100","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","906","580823002","0271","","688","9.9","","6.5","","R","6.1","13.7","","30000","45000","RT","80","110","180","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","907","580823002","0271","","688","9.9","","6.5","","R","6.1","13.7","","15000","30000","RT","30","100","150","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","908","580823002","0271","","688","9.9","","6.5","","R","6.1","13.7","","8000","16000","PX","30","100","150","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","905","571052003","0271","","688","9.9","","6.5","","R","6.1","13.7","","15000","30000","FR","80","90","175","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","901","464250001","0271","","688","9.9","","6.5","","R","6.1","13.7","","30000","70000","RT","50","100","200","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","895","274037001","0271","","688","9.9","","6.5","","R","6.1","13.7","","9000","25000","FR","100","80","190","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","885","38310002","0271","AC","688","9.9","","6.5","","R","6.1","13.7","","3000","5000","SD","50","95","180","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","886","38310002","0271","AA","688","9.9","","6.5","","R","6.1","13.7","","4000","6500","SD","60","95","180","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","888","126065001","0271","","688","9.9","","6.5","","R","6.1","13.7","","1500","3000","FR","220","220","280","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","899","293003001","0271","","688","9.9","","6.5","","R","6.1","13.7","","5000","7500","PX","32","90","140","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","904","540058001","0271","","688","9.9","","6.5","","R","6.1","13.7","","2500","4000","PX","100","140","260","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","898","283467005","0271","AD","688","9.9","","6.5","","R","6.1","13.7","","8000","15000","FR","80","80","150","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","896","283421001","0271","","688","9.9","","6.5","","R","6.1","13.7","","2500","6000","SD","20","80","125","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","897","283421001","0271","","688","9.9","","6.5","","R","6.1","13.7","","2500","5000","SD","25","100","180","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","909","580851001","0271","","688","9.9","","6.5","","R","6.1","13.7","","10000","20000","RT","110","100","175","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
"18426","XXX","","","","903","540031016","0271","","688","9.9","","6.5","","R","6.1","13.7","","35000","55000","TU","130","110","220","","","","","","","","16","","","","","","","1953","1968","","","","","Y","","V","","N","P0","K0","","","1",""
