REFERENCE,LONGREF,NOTE,USERID,CREATED,MODIFIED
AHN188:83,"Acta Horticulturae, No.188: 83.",,DUKE,10-Dec-97,
AJM,Australian J. Med Herbalism (Vol. 5=1993),,DUKE,10-Dec-97,
AJM7:29,"Australian J. Med Herbalism, 7: 29.",,DUKE,10-Dec-97,
ALH,"A.L.L. Hunting. Encyclopedia of Shampoo Ingredients. Micelle Press, Cranford NJ. 467 pp.",,DUKE,10-Dec-97,
ALN,Arq. Lat. Nut.,,DUKE,10-Dec-97,
ANM,Ann Nutr. Metab. (Vol. 37 + 1993).,,DUKE,10-Dec-97,
APF48:103,Jim Duke's personal files.,,DUKE,10-Dec-97,
APP,Acta Physiol Pharmacol Bulg (Vol 16 in 1990),,DUKE,10-Dec-97,
APS,Acta Pharmaceutica Sinica (Vol. 28=1993).,,DUKE,10-Dec-97,
AR,Anticancer Research (11=1991),,DUKE,10-Dec-97,
ARC,Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry,Most ARC numerical data were in mg/dl.  I know of no other plant where zinc is more prevalent than other minerals and protein. These data should be viewed as suspect.,DUKE,10-Dec-97,
ARZ,Arznemittel Forschung (Vol. 44=1994),,DUKE,10-Dec-97,
ATH94:79,Atherogenesis 94:79-85. 1992.,,DUKE,10-Dec-97,
AVR,Antiviral Research ,(in many cases I consulted the abstract only),DUKE,10-Dec-97,
AVR14:323,"Antiviral Research, 14: 323.",,DUKE,10-Dec-97,
AYL,"Leung, A.Y., Encyclopedia of Common Natural Ingredients Used in Food, Drugs, and Cosmetics, John Wiley & Sons, New York, 1980.",,DUKE,10-Dec-97,
Al-Rawi,"Al-Rawi, Ali. 1964. Medicinal Plants of Iraq. Tech. Bull. No. 15. Ministry of Agriculture, Directorate General of Agricultural Research Projects.",,DUKE,10-Dec-97,
Altschul,"Altschul, Siri Von Reis. 1973. Drugs and foods from little-known plants. Harvard Univ. Press",,DUKE,10-Dec-97,
Ayensu,"Ayensu, Edward S. 1978. Medicinal plants of West Africa. Reference Publications, Inc.",,DUKE,10-Dec-97,
B&D,"Buchanan & Duke, 1981",,DUKE,10-Dec-97,
BBA,Biochimica & Biophysica Acta (Gen Subjects 1115.1.=1991),,DUKE,10-Dec-97,
BBA1115:69,"Biochimica & Biophysica Acta, 1115: 69, 1991.",,DUKE,10-Dec-97,
BBB,Biosci. Biotech. Biochem. (56(12)=1992),,DUKE,10-Dec-97,
BBB56:2062,"Murata, M., Yamakoshi, Y., Homma, S., Arai, K., and Nakamura, Y. 1992. Macrocarpals, Antibacterial Compounds from Eucalyptus, Inhibit Aldose Reductase. Biosci. Biotech. Biochem., 56(12): 2062-2063, 1992.",,DUKE,10-Dec-97,
BBE,"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006.",,DUKE,10-Dec-97,
BCI,Biochem Int (28 in 1992),,DUKE,10-Dec-97,
BCI28:735,"Balanehru, S. and Nagarajan, B. 1992. Intervention of Adriamycin Induced Free Radical Damage. Biochemistry International 28(4): 735-744, 1992.",,DUKE,10-Dec-97,
BIS,"Bisset, N.G., ed. 1994. Herbal Drugs and Phytopharmaceuticals. CRC Press. Boca Raton, FL. 566 pp.","English translation of Wichtl, 1984,1989).",DUKE,10-Dec-97,
BJP103:1719,Jim Duke's personal files.,,DUKE,10-Dec-97,
BML,"Lawrence, B.M., Essential Oils 1976-1977, Essential Oils 1978, Essential Oils 1979-1980.","Three annual compilations on essential oils. Percentages multiplied by  250-10,000 ppm and rounded to get fresh and dry weights.",DUKE,10-Dec-97,
BOB,"Betting on Boron, Unpublished draft by J. A. Duke on file at USDA, draft and papers relating to boron percentages. Includes Internat. Z. Vit. Ern. Forschung 43:1973 (boron).",,DUKE,10-Dec-97,
BOIK1995,"Boik, John. 1995. Cancer & natural medicine.  Oregon Medical Press, Princeton, MN. 315 pp.",,DUKE,10-Dec-97,
BP,Biochem Pharmacol,,DUKE,10-Dec-97,
BP40(10):2227,"Biochem Pharmacol, 40(10): 2227.",,DUKE,10-Dec-97,
BPCC,Biosyn. Prod. Cancer Chemotherapy (Petit et al),,DUKE,10-Dec-97,
BVC:162,"Buchbauer et al, e.g.Buchbauer et al,1993.Therapeutic properties of essential oils and fragrances. Chap.12 in Teranishi,R, Buttery,R.G and Sugisawa,H. Eds. Bioactive Volatile Compounds from Plants. ACS Symposium Series 525. Amer. Chem. Soc., Washington DC",,DUKE,10-Dec-97,28-Apr-00
Batanouny,"Batanouny, N.K. Unpublished manuscript. Flora of Qatar.",,DUKE,10-Dec-97,
Bliss,"Shih-chen, Li. 1973. Chinese medinal herbs. Georgetown Press, San Francisco.",,DUKE,10-Dec-97,
Broun,"Broun, A.F., and R.E. Massey. 1929. Flora of the Sudan. The controller, Sudan Govt. Office, Wellington House, Buchingham Gate, London, S.W.I.",,DUKE,10-Dec-97,
Brutus,"Brutus, T.C., and A.V. Pierce-Noel. 1960. Les Plantes et les Legumes d'Hati qui Guerissent. Imprimerie De L'Etat, Port-Au-Prince, Haiti.",,DUKE,10-Dec-97,
"Burkill, 1966","Burkill, J .D. 1966. A Dictionary of the Economic Products of the Malay Peninsula. Art Printing Works, Kuala Lumpur. 2 vols.",,DUKE,10-Dec-97,
CAL,"Chen, H.C. and Lin, S.M. 1988. Determination of Mineral Elements in Certain Crude Drugs (Part 1), Kaohsiung J. Med. Sci., 4: 259-272.",,DUKE,10-Dec-97,
CCO,Chemical Constituents of Oriental Herbs (3 diff. books),,DUKE,10-Dec-97,
CE,Chemical Express (Vol. 7=1992),,DUKE,10-Dec-97,
CE7:285,"Chemical Express, 7: 285, 1992.",,DUKE,10-Dec-97,
CE7:297,"Chemical Express, 7: 297, 1992.",,DUKE,10-Dec-97,
CFN,"Cardiology from Nature.(by Authur Hollman, s.d.) Telectronics Pacing System, London. 13 pp.",,DUKE,10-Dec-97,
CIB,"CIBA (Chadwick, D.J. and Marsh, J. 1990. Bioactive Compounds from Plants. CIBA Foundation Symposium 154. John Wiley & Sons, Ltd. Chichester UK. 242 pp.",,DUKE,10-Dec-97,
CJB,Canadian J. Botany,,DUKE,10-Dec-97,
CJP,Canadian J. Pharm. Sci. (Vol. 12=1977),,DUKE,10-Dec-97,
CJT,Chin. J. Tuber. Respir. Dis.,,DUKE,10-Dec-97,
CJT4:203.1982,"Chin. J. Tuber. Respir. Dis., 4:203, 1982.",,DUKE,10-Dec-97,
CLE,Cancer Letter (56=1991),,DUKE,10-Dec-97,
CMB,Cell Mol. Biol. Res.,,DUKE,10-Dec-97,
CMB39:119,Cell Mol. Biol. Res. (Vol 39=1993),,DUKE,10-Dec-97,
CMR,Chemical Marketing Reporter; a weekly tabloid,,DUKE,10-Dec-97,
CMR3/4/91,"Chemical Marketing Reporter; a weekly tabloid, 3/4/91, p.16.",,DUKE,10-Dec-97,
CMR9/10/92,"Chemical Marketing Reporter; a weekly tabloid, 9/10/92.",,DUKE,10-Dec-97,
CNC,Chemistry of Natural Compounds (Vol. 28=1991),,DUKE,10-Dec-97,
CPA,Can. Pharm. Assoc. Medication. 1988,,DUKE,10-Dec-97,
CPB,"Chem & Pharm. Bull. RM1.C5 (6th fl, NAL) VOL 38(1-12 ENTERED)",,DUKE,10-Dec-97,
CPB34:2164.1986,"Chem & Pharm. Bull., 34: 2164, 1986.",,DUKE,10-Dec-97,
CPB34:3854.1986,"Chem & Pharm. Bull., 34: 3854, 1986.",,DUKE,10-Dec-97,
CPB36:3153,"Chem & Pharm. Bull., 36: 3153.",,DUKE,10-Dec-97,
CPB37:2531,"Shimizu, M., Horie, S., Terashima, S., Ueno, H., et al. 1989. Studies on Aldose Reductase Inhibitors from Natural Products.II. Active Components of a Paraguayan Crude Drug 'Para-parai mi,' Phyllanthus niruri. Chem. Pharm. Bull. 37(9): 2531-2532, 1989.",,DUKE,10-Dec-97,
CPB37:3153,"Kohda, H., Tanaka, S., Yamaoka, Y., Yahara, S., Nohara, T., Tanimoto, T., Tanaka, A. 1989. Studies on Lens-Aldose-Reductase Inhibitor in Medicinal Plants.II Active Constituents of Monochasma savatierii FRANCH, et MAXIM. Chem. Pharm. Bull. 37(11):3153-3154",,DUKE,10-Dec-97,
CPB38:1049,"Uchida, U., Ohta, H., Niwa, M., Mori, A., Nonaka, G-i., Nishioka, I., and Zaki, M. 1989. Prolongation of Life Span of Stroke-Prone Spontaneously Hypertensive Rats (SHRSP) Ingesting Persimmon Tannin. Chem. Pharm. Bull. 38(4): 1049-1052, 1990.",,DUKE,10-Dec-97,
CPB38:1225,"Hatano, T., Yasuhara, T., Yoshihara, R., Agata, I., Noro, T., and Okuda, T. 1989. Effects of Interaction of Tannins with Co-existing Substances.VII. Inhibitory Effects of Tannins Related Polyphenols on Xanthine Oxidase. Chem. Pharm. Bull. 38(5): 1224-1229",,DUKE,10-Dec-97,
CPB38:1620,"Ozaki, Y. and Ma, J-P. 1989. Inhibitory Effects of Tetramethylpyrazine and Ferulic Acid on Spontaneous Movement of Rat Uterus in Situ. Chem. Pharm. Bull. 38(6): 1620-1623, 1990.",,DUKE,10-Dec-97,
CPB38:1772,Chem. & Pharm. Bull. 38: 1772.,,DUKE,10-Dec-97,
CPB38:2012,"Akao, M. and Kuroda, K. 1990. Inhibitory Effect of Fumaric Acid on Hepatocarcinogenesis by Thioacetamide in Mice. Chem. Pharm. Bull. 38(7): 2012-2014, 1990.",,DUKE,10-Dec-97,
CPB38:2033,Chem. & Pharm. Bull. 38: 2033.,,DUKE,10-Dec-97,
CPB38:2034,"Yamahara, J., Matsuda, H., Naitoh, Y., Fujimura, H., and Tamai, Y. 1990. Antianoxic Action and Active Constituents of Atractylodis Lanceae Rhizoma. Chem. Pharm. Bull. 38(7): 2033-2034, 1990.",,DUKE,10-Dec-97,
CPB38:208,"Abe, K-i., Inoue, O., and Yumioka, E. 1989. Biliary Excretion of Metabolites of Baicalin and Baicalein in Rats. Chem. Pharm. Bull. 38(1): 208-211, 1990.",,DUKE,10-Dec-97,
CPB38:2201,"Mayumi Ito (nee Someya), et al. 1990. Hepatoprotective Compounds from Canarium album and Euphorbia nematocypha. Chem. Pharm. Bull. 38(8): 2201-2203, 1990.",,DUKE,10-Dec-97,
CPB38:2205,Chem. & Pharm. Bull. 38: 2205.,,DUKE,10-Dec-97,
CPB38:2283,"Shimizu,*M., et al. 1990. Anti-inflammatory Constituents of Topically Applied Crude Drugs. IV.1) Constituents and Anti-inflammatory Effect of Paraguayan Crude Drug 'Alhucema' (Lavandula latifolia Vill.)2). Chem. Pharm. Bull. 38(8): 2283-2284, 1990.",,DUKE,10-Dec-97,
CPB38:2733,"Terashima, S., Shimizu, M., Nakayama, H., Ishikura, M., et al. 1990. Studies on Aldose Reductase Inhibitors from Medicinal Plant of 'Sinfito,' Potentilla candicans, and Further Synthesis of Their Related Compounds. Chem. Pharm. Bull 38(10):2733-2736, 1990",,DUKE,10-Dec-97,
CPB38:297,"Jin, G-Z., Yamagata, Y., and Tomita, K.-i. 1989. Structure of Rutin Pentamethanol. Chem. Pharm. Bull. 38(2): 297-300, 1990.",,DUKE,10-Dec-97,
CPB38:3031,"Oh-Hara, T., Kawazoe, Y., and Sakagami, H. 1990. Lignified Materials as Potential Medicinal Resources.III. Diversity of Biological Activity and Possible Molecular Species Involved. Chem. Pharm. Bull. 38(11): 3031-3034, 1990.",,DUKE,10-Dec-97,
CPB38:3053,"Yamahara, J., Li, Y.H., and Tamai, Y. 1990. Anti-ulcer Effect in Rats of Bitter Cardamon Constituents. Chem. Pharm. Bull. 38(11): 3053-3054, 1990.",,DUKE,10-Dec-97,
CPB38:3086,"Seki, T., Toeda, C., Kawaguchi, T., Juni, K., Sugibayashi, K., and Morimoto, Y. 1990. Enhanced Transdermal Delivery of Zidovudine in Rats and Human Skin. Chem. Pharm. Bull. 38(11): 3086-3089, 1990.",,DUKE,10-Dec-97,
CPB38:3355,"Yanagisawa, T., Kosakai, K., Tomiyama, T., Yasunami, M., and Takase, K. 1990. Studies on Anti-ulcer Agents. II. Synthesis and Anti-ulcer Activities of 6-Isopropylazulene-1-sodium Sulfonate Derivatives. Chem. Pharm. Bull. 38(12): 3355-3358, 1990.",,DUKE,10-Dec-97,
CPB38:774,"Yasukawa, K., Takido, M., Takeuchi, M., Sato, Y., Nitta, K., and Nakagawa, S. 1989. Inhibitory Effects of Flavonol Glycosides on 12-O-Tetradecanoylphorbol-13-acetate-Induced Tumor Promotion. Chem. Pharm. Bull. 38(3): 774-776, 1990.",,DUKE,10-Dec-97,
CPB39:3276,"Tsuruga, T., Chun, Y.-T., Ebizuka, Y., and Sankawa, U. 1991. Biologically Active Constituents of Melaleuca leucadendron: Inhibitors of Induced Histamine Release from Rat Mast Cells. Chem. Pharm. Bull. 39(12): 3276-3278, 1991.",,DUKE,10-Dec-97,
CR,Cancer Research (Vol. 54=1994),,DUKE,10-Dec-97,
CR48:5941,"Cancer Research, 48: 5941.",,DUKE,10-Dec-97,
CR54:701,"Cancer Research, 54: 701, 1994.",,DUKE,10-Dec-97,
CRC,CRC Handbook of Medicinal Herbs and/or CRC Handbook of Proximate Analyses,,DUKE,10-Dec-97,
CRC(FNS),Jim Duke's personal files.,,DUKE,10-Dec-97,
CRH,Consumers Report on Health (newsletter; vol 7=1995),,DUKE,10-Dec-97,
DAS,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp.",,DUKE,10-Dec-97,
DAZ129:155,Deutsche Apot. Ziit. 129(4):155-163. W. Schulze et al. Die Melisse.,<0.1=Trace.,DUKE,10-Dec-97,
DIE,"Die Nahrung. Pino, J., Rosado, A., Goire, I., Roncal, E., and Garcia, I. 1993. Analysis of the Essential Oil from Cuban Basil. Die Nahrung 37:(5): 501-504.","Also published in JEO6:89, 1994.",DUKE,10-Dec-97,
DMD,Drug Metab Dispos (in CAL system),,DUKE,10-Dec-97,
DPA,"Danute Pajaujis Anonis. 1993. Flower Oils and Floral Compounds in Perfumery. Allured Publishing Corp., Carol Stream ILL. 257 pp.",,DUKE,10-Dec-97,
DRS,"DeWhalley, C., S. Rankin, J. Hoult, W. Jessup, & D. Leake. 1990. Flavonoids inhibit the oxidative modification of low density lipoproteins by macrophages. Biochem. Pharm. 39:1743-51.",,DUKE,10-Dec-97,
DUKE1992A,"Duke, James A. 1992. Handbook of phytochemical constituents of GRAS herbs and other economic plants. Boca Raton, FL. CRC Press.",,DUKE,10-Dec-97,
DUKE1992B,"Duke, James A. 1992. Handbook of biologically active phytochemicals and their activities. Boca Raton, FL. CRC Press.",,DUKE,10-Dec-97,
Duke,"Duke, James A. 1972. Isthmian ethnobotanical dictionary. Published by the author, Fulton, MD.",,DUKE,10-Dec-97,
EB,"Economic Botany, a publication of the Society for Economic Botany, The New York Botanical Garden.",,DUKE,10-Dec-97,
EB41:474,"Economic Botany, a publication of the Society for Economic Botany, The New York Botanical Garden. 41: 474.",,DUKE,10-Dec-97,
EB44:68.1990,"Schultes, R.E. De Plantis Toxicariis e Mundo Novo Tropicale Commentationes XXXVI. Justicia (Acanthaceae) as a Source of an Hallucinogenic Snuff. Economic Botany 44(1): 61-70, 1990.",,DUKE,10-Dec-97,
