SUPERACT,ACTIVITY
Alzheimers,Antisclerotic
Alzheimers,Antisenility
Alzheimers,Antistress
Alzheimers,Antistressor
Alzheimers,Antistroke
Alzheimers,Antithrombic
Alzheimers,Antithrombogenic
Alzheimers,Anxiolytic
Alzheimers,Ataractic
Alzheimers,CNS-Stimulant
Alzheimers,COX-2-Inhibitor
Alzheimers,Capillarifortificant
Alzheimers,Capillariprotective
Alzheimers,Capillaritonic
Alzheimers,Cerebrocirculant
Alzheimers,Cerebroprotective
Alzheimers,Cerebrostimulant
Alzheimers,Cerebrotonic
Alzheimers,Cerebrovasodilator
Alzheimers,Chelator
Alzheimers,Choline-Sparing
Alzheimers,Cholinergic
Alzheimers,Cyclooxygenase-Inhibitor
Alzheimers,Estrogenic
Alzheimers,Free-Radical Scavenging
Alzheimers,Homeostatic
Alzheimers,Lipoxygenase-Inhibitor
Alzheimers,Memorigenic
Alzheimers,Memory-Enhancer
Alzheimers,Metal-Chelator
Alzheimers,Nervine
Alzheimers,Neurogenic
Alzheimers,Neuroprotective
Alzheimers,Neurotransmitter
Alzheimers,Thrombolytic
Alzheimers,Tonic
Alzheimers,Vasculoprotective
Alzheimers,Vasoprotective
Alzheimers,Vasotonic
Alzheimers,Venotonic
Amenorrhea,Antianxiety
Amenorrhea,Antihyperprolactinemic
Amenorrhea,Anxiolytic
Amenorrhea,Aphrodisiac
Amenorrhea,Balance Prolactin Production
Amenorrhea,Estrogenic
Amenorrhea,Fertility-Enhancing
Amenorrhea,Hormone-Balancing
Amenorrhea,Ovulation-Stimulant
Amenorrhea,Phytoestrogenic
Amenorrhea,Stimulate AA-Series-Prostaglandin-Synthesis
Amenorrhea,Supress Prolactin Production
Angina,Antiaggregant
Angina,Antianginal
Angina,Antiarteriosclerotic
Angina,Antiatherogenic
Angina,Antiatheromic
Angina,Antiatherosclerotic
Angina,Antiatherotic
Angina,Anticardiac
Angina,Anticardiospasmic
Angina,Anticoagulant
Angina,Anticoronary
Angina,Antiedemic
Angina,Antihypercholesterolemic
Angina,Antihypertensive
Angina,Antiischemic
Angina,Antioxidant
Angina,Antiplatelet
Angina,Antistress
Angina,Antistroke
Angina,Antithrombic
Angina,Arteriodilator
Angina,Beta-Blocker
Angina,Calcium-Antagonist
Angina,Calcium-Blocker
Angina,Calcium-Channel-Blocker
Angina,Cardioprotective
Angina,Cardiorelaxant
Angina,Cardiosedative
Angina,Cardiotonic
Angina,Diuretic
Angina,Hypocholesterolemic
Angina,Hypotensive
Angina,Myocardiotonic
Angina,Nervine
Angina,Sedative
Angina,Vasodilator
Angina,Vasoprotective
Angina,Vasorelaxant
Angina,Vasotonic
Angina,Venotonic
Anorexia,Antianorectic
Anorexia,Antianorexic
Anorexia,Apertif
Anorexia,Bitter
Anorexia,Gastrostimulant
Anorexia,Orexigenic
Anorexia,Sialogogue
Anxiety Disorders,Adrenoreceptor Antagonist
Anxiety Disorders,Antiallergic
Anxiety Disorders,Antianxiety
Anxiety Disorders,Antistress
Anxiety Disorders,Anxiolytic
Anxiety Disorders,Benzodiazepine-Receptor Agonist
Anxiety Disorders,Benzodiazepine-Receptor Ligand
Anxiety Disorders,CNS-Depressant
Anxiety Disorders,Decrease Epinephrine Production
Anxiety Disorders,Decrease Lactate
Anxiety Disorders,Decrease Lactate/Pyruvate Ratio
Anxiety Disorders,Decrease Norepinephrine Production
Anxiety Disorders,GABA Receptor Agonist
Anxiety Disorders,Increase Magnesium Bioavailability
Anxiety Disorders,Provide Magnesium
Anxiety Disorders,Regulate Calcium Metabolism
Anxiety Disorders,Sedative
Anxiety Disorders,Serotoninergic
Anxiety Disorders,Tranquilizer
Apoplexy/Stroke,Antiaggregant
Apoplexy/Stroke,Antianginal
Apoplexy/Stroke,Antiarteriosclerotic
Apoplexy/Stroke,Antiatherogenic
Apoplexy/Stroke,Antiatheromic
Apoplexy/Stroke,Antiatherosclerotic
Apoplexy/Stroke,Antiatherotic
Apoplexy/Stroke,Anticapillarihemorrhagic
Apoplexy/Stroke,Anticapillary-Fragility
Apoplexy/Stroke,Anticardiac
Apoplexy/Stroke,Anticoagulant
Apoplexy/Stroke,Anticoronary
Apoplexy/Stroke,Antiedemic
Apoplexy/Stroke,Antihemorrhagic
Apoplexy/Stroke,Antihemorrhoidal
Apoplexy/Stroke,Antihypercholesterolemic
Apoplexy/Stroke,Antihypertensive
Apoplexy/Stroke,Antiischemic
Apoplexy/Stroke,Antioxidant
Apoplexy/Stroke,Antiplatelet
Apoplexy/Stroke,Antistress
Apoplexy/Stroke,Antistroke
Apoplexy/Stroke,Antithrombic
Apoplexy/Stroke,Antithrombotic
Apoplexy/Stroke,Arteriodilator
Apoplexy/Stroke,Beta-Blocker
Apoplexy/Stroke,Calcium-Blocker
Apoplexy/Stroke,Calcium-Channel-Blocker
Apoplexy/Stroke,Capillarifortificant
Apoplexy/Stroke,Capillariprotective
Apoplexy/Stroke,Capillaritonic
Apoplexy/Stroke,Cardioprotective
Apoplexy/Stroke,Cardiorelaxant
Apoplexy/Stroke,Cardiosedative
Apoplexy/Stroke,Cardiotonic
Apoplexy/Stroke,Cerebrovasodilator
Apoplexy/Stroke,Diuretic
Apoplexy/Stroke,Hypocholesterolemic
Apoplexy/Stroke,Hypotensive
Apoplexy/Stroke,Myocardiodepressant
Apoplexy/Stroke,Myocardiotonic
Apoplexy/Stroke,Sedative
Apoplexy/Stroke,Vasodilator
Apoplexy/Stroke,Vasoprotective
Apoplexy/Stroke,Vasorelaxant
Apoplexy/Stroke,Vasotonic
Apoplexy/Stroke,Venotonic
Appetite,Antianorectic
Appetite,Antianorexic
Appetite,Apertif
Appetite,Bitter
Appetite,Gastrostimulant
Appetite,Sialogogue
Arrhythmia (Cardiac),Antiaggregant
Arrhythmia (Cardiac),Antianginal
Arrhythmia (Cardiac),Antiarrhythmic
Arrhythmia (Cardiac),Antiarteriosclerotic
Arrhythmia (Cardiac),Antiatherogenic
Arrhythmia (Cardiac),Antiatheromic
Arrhythmia (Cardiac),Antiatherosclerotic
Arrhythmia (Cardiac),Antiatherotic
Arrhythmia (Cardiac),Anticardiac
Arrhythmia (Cardiac),Anticardiospasmic
Arrhythmia (Cardiac),Anticoagulant
Arrhythmia (Cardiac),Anticoronary
Arrhythmia (Cardiac),Antiedemic
Arrhythmia (Cardiac),Antihypercholesterolemic
Arrhythmia (Cardiac),Antihypertensive
Arrhythmia (Cardiac),Antiinfarctal
Arrhythmia (Cardiac),Antiischemic
Arrhythmia (Cardiac),Antioxidant
Arrhythmia (Cardiac),Antiplatelet
Arrhythmia (Cardiac),Antistress
Arrhythmia (Cardiac),Antitachycardic
Arrhythmia (Cardiac),Beta-Blocker
Arrhythmia (Cardiac),Calcium-Blocker
Arrhythmia (Cardiac),Calcium-Channel-Blocker
Arrhythmia (Cardiac),Cardiodepressant
Arrhythmia (Cardiac),Cardioprotective
Arrhythmia (Cardiac),Cardiorelaxant
Arrhythmia (Cardiac),Cardiosedative
Arrhythmia (Cardiac),Cardiotonic
Arrhythmia (Cardiac),Cerebrovasodilator
Arrhythmia (Cardiac),Diuretic
Arrhythmia (Cardiac),Hypocholesterolemic
Arrhythmia (Cardiac),Hypotensive
Arrhythmia (Cardiac),Mycardiodepressant
Arrhythmia (Cardiac),Myocardiotonic
Arrhythmia (Cardiac),Nervine
Arrhythmia (Cardiac),Sedative
Arrhythmia (Cardiac),Vasodilator
Arrhythmia (Cardiac),Vasoprotective
Arrhythmia (Cardiac),Vasorelaxant
Arrhythmia (Cardiac),Vasotonic
Arrhythmia (Cardiac),Venotonic
Arteriosclerosis/Atherosclerosis,Adrenergic-Blocker
Arteriosclerosis/Atherosclerosis,Anti-LDL
Arteriosclerosis/Atherosclerosis,Antiadrenergic
Arteriosclerosis/Atherosclerosis,Antiaggregant
Arteriosclerosis/Atherosclerosis,Antianginal
Arteriosclerosis/Atherosclerosis,Antiarteriosclerotic
Arteriosclerosis/Atherosclerosis,Antiatherogenic
Arteriosclerosis/Atherosclerosis,Antiatheromic
Arteriosclerosis/Atherosclerosis,Antiatherosclerotic
Arteriosclerosis/Atherosclerosis,Antiatherotic
Arteriosclerosis/Atherosclerosis,Antibacterial
Arteriosclerosis/Atherosclerosis,Anticardiac
Arteriosclerosis/Atherosclerosis,Anticardiospasmic
Arteriosclerosis/Atherosclerosis,Anticlaudificant
Arteriosclerosis/Atherosclerosis,Anticoagulant
Arteriosclerosis/Atherosclerosis,Anticoronary
Arteriosclerosis/Atherosclerosis,Antidiabetic
Arteriosclerosis/Atherosclerosis,Antiedemic
Arteriosclerosis/Atherosclerosis,Antihomocystinuric
Arteriosclerosis/Atherosclerosis,Antihypercholesterolemic
Arteriosclerosis/Atherosclerosis,Antihyperlipidemic
Arteriosclerosis/Atherosclerosis,Antihyperlipoproteinaemic
Arteriosclerosis/Atherosclerosis,Antihyperlipoproteinemic
Arteriosclerosis/Atherosclerosis,Antihypertensive
Arteriosclerosis/Atherosclerosis,Antiinfarctal
Arteriosclerosis/Atherosclerosis,Antiinflammatory
Arteriosclerosis/Atherosclerosis,Antiischemic
Arteriosclerosis/Atherosclerosis,Antileukotriene
Arteriosclerosis/Atherosclerosis,Antilipedemic
Arteriosclerosis/Atherosclerosis,Antilipoperoxidant
Arteriosclerosis/Atherosclerosis,Antimicrobial
Arteriosclerosis/Atherosclerosis,Antioxidant
Arteriosclerosis/Atherosclerosis,Antioxidant (LDL)
Arteriosclerosis/Atherosclerosis,Antioxidant Synergist
Arteriosclerosis/Atherosclerosis,Antiplaque
Arteriosclerosis/Atherosclerosis,Antiplatelet
Arteriosclerosis/Atherosclerosis,Antiscorbutic
Arteriosclerosis/Atherosclerosis,Antistress
Arteriosclerosis/Atherosclerosis,Antistressor
Arteriosclerosis/Atherosclerosis,Antistroke
Arteriosclerosis/Atherosclerosis,Antisyndrome-X
Arteriosclerosis/Atherosclerosis,Antithrombic
Arteriosclerosis/Atherosclerosis,Antithrombogenic
Arteriosclerosis/Atherosclerosis,Antithrombotic
Arteriosclerosis/Atherosclerosis,Antithromboxane
Arteriosclerosis/Atherosclerosis,Arteriodilator
Arteriosclerosis/Atherosclerosis,Bacteriostatic
Arteriosclerosis/Atherosclerosis,Bacteristat
Arteriosclerosis/Atherosclerosis,Beta-Adrenergic Receptor Blocker
Arteriosclerosis/Atherosclerosis,Calcium-Antagonist
Arteriosclerosis/Atherosclerosis,Calcium-Blocker
Arteriosclerosis/Atherosclerosis,Calcium-Channel-Blocker
Arteriosclerosis/Atherosclerosis,Cardioprotective
Arteriosclerosis/Atherosclerosis,Cardiorelaxant
Arteriosclerosis/Atherosclerosis,Cardiosedative
Arteriosclerosis/Atherosclerosis,Cardiotonic
Arteriosclerosis/Atherosclerosis,Cerebrovasodilator
Arteriosclerosis/Atherosclerosis,Chelator
Arteriosclerosis/Atherosclerosis,Choline-Sparing
Arteriosclerosis/Atherosclerosis,Circulatory-Stimulant
Arteriosclerosis/Atherosclerosis,Cyclooxygenase-Inhibitor
Arteriosclerosis/Atherosclerosis,Diuretic
Arteriosclerosis/Atherosclerosis,Fibrinolytic
Arteriosclerosis/Atherosclerosis,Free-Radical Scavenging
Arteriosclerosis/Atherosclerosis,Hydroperoxidase-Inhibitor
Arteriosclerosis/Atherosclerosis,Hypocholesterolemic
Arteriosclerosis/Atherosclerosis,Hypolipidemic
Arteriosclerosis/Atherosclerosis,Hypotensive
Arteriosclerosis/Atherosclerosis,Hypotriacylglycerolemic
Arteriosclerosis/Atherosclerosis,Hypotriglyceridemic
Arteriosclerosis/Atherosclerosis,Lipoxygenase-Inhibitor
Arteriosclerosis/Atherosclerosis,Metal-Chelator
Arteriosclerosis/Atherosclerosis,Myocardiotonic
Arteriosclerosis/Atherosclerosis,NO-Genic
Arteriosclerosis/Atherosclerosis,NO-Sparing
Arteriosclerosis/Atherosclerosis,Natriuretic
Arteriosclerosis/Atherosclerosis,Nervine
Arteriosclerosis/Atherosclerosis,PAF-Inhibitor
Arteriosclerosis/Atherosclerosis,Phosphodiesterase-Inhibitor
Arteriosclerosis/Atherosclerosis,Phospholipase-A2-Inhibitor
Arteriosclerosis/Atherosclerosis,Phospholipase-Inhibitor
Arteriosclerosis/Atherosclerosis,Prostaglandin-Synthesis-Inhibitor
Arteriosclerosis/Atherosclerosis,Sedative
Arteriosclerosis/Atherosclerosis,Thrombolytic
Arteriosclerosis/Atherosclerosis,Thyrostimulant
Arteriosclerosis/Atherosclerosis,Tocopherol-Synergist
Arteriosclerosis/Atherosclerosis,Triglycerolytic
Arteriosclerosis/Atherosclerosis,Vasodilator
Arteriosclerosis/Atherosclerosis,Vasoprotective
Arteriosclerosis/Atherosclerosis,Vasorelaxant
Arteriosclerosis/Atherosclerosis,Vasotonic
Arteriosclerosis/Atherosclerosis,Venotonic
Arteriosclerosis/Atherosclerosis,cAMP-Phosphodiesterase-Inhibitor
Arthritis,12-Lipoxygenase-Inhibitor
Arthritis,Analgesic
Arthritis,Anesthetic
Arthritis,Antiarthritic
Arthritis,Antidermatitic
Arthritis,Antiedemic
Arthritis,Antiinflammatory
Arthritis,Antinociceptive
Arthritis,Antiosteoarthritic
Arthritis,Antiosteotic
Arthritis,Antiprostaglandin
Arthritis,Antirheumatalgic
Arthritis,Antirheumatic
Arthritis,Antispasmodic
Arthritis,COX-2-Inhibitor
Arthritis,Collagenase-Inhibitor
Arthritis,Controls Substance P
Arthritis,Counterirritant
Arthritis,Cyclooxygenase-Inhibitor
Arthritis,Elastase-Inhibitor
Arthritis,Inhibit 12-Lipoxygenase
Arthritis,Inhibit Collagenase
Arthritis,Inhibit Cyclooxygenase
Arthritis,Inhibit Elastase
Arthritis,Inhibit Lypoxygenase
Arthritis,Inhibit Production of Tumor Necrosis Factor
Arthritis,Inhibit Prostaglandin Synthesis
Arthritis,Antiinterleukin-1
Arthritis,Lipoxygenase-Inhibitor
Arthritis,Myorelaxant
Arthritis,Nervine
Arthritis,Proteolytic
Asthma,12-Lipoxygenase-Inhibitor
Asthma,Antiallergic
Asthma,Antiasthmatic
Asthma,Antibronchitic
Asthma,Antibronchoconstrictor
Asthma,Anticholinergic-Bronchodilator
Asthma,Antihistamine
Asthma,Antihistaminic
Asthma,Antileukotriene
Asthma,Antioxidant
Asthma,Antipharyngitic
Asthma,Antiprostaglandin
Asthma,Antispasmodic
Asthma,Asthma-preventive
Asthma,Beta-2-Receptor-Agonist
Asthma,Beta-Andrenergic-Agents
Asthma,Bronchodilator
Asthma,Bronchorelaxant
Asthma,Bronchospasmolytic
Asthma,Bronchotonic
Asthma,Cyclooxygenase-Inhibitor
Asthma,Decongestant
Asthma,Expectorant
Asthma,Immunomodulator
Asthma,Inhibit 12-Lipoxygenase
Asthma,Inhibit AA-Series-Prostaglandin-Synthesis
Asthma,Inhibit Cyclooxygenase
Asthma,Inhibit Cytokine-Production
Asthma,Antiinterleukin-1
Asthma,Inhibit Leukotriene-Production
Asthma,Inhibit Lipoxygenase
Asthma,Inhibit PAF
Asthma,Inhibit Platelet-Activating-Factor
Asthma,Inhibit Production of Tumor-Necrosis-Factor
Asthma,Inhibit Prostaglandin-Synthase
Asthma,Lipoxygenase-Inhibitor
Asthma,Mast-Cell-Stabilizer
Asthma,PAF-Antagonist
Asthma,Sympathomimetic-Bronchodilator
Athletes Foot,Analgesic
Athletes Foot,Anesthetic
Athletes Foot,Antibiotic
Athletes Foot,Antidermatitic
Athletes Foot,Antifungal
Athletes Foot,Antiitch
Athletes Foot,Antinociceptive
Athletes Foot,Antiseptic
Athletes Foot,Demulcent
BPH,17-beta-hydroxysteroid dehydrogenase-Inhibitor
BPH,5-Alpha-Reductase-Inhibitor
BPH,Alpha-Reductase-Inhibitor
BPH,AntiBPH
BPH,Antiadenomic
BPH,Antiandrogenic
BPH,Antiangiogenic
BPH,Anticancer
BPH,Anticancer (Prostate)
BPH,Anticarcinogenic
BPH,Anticarcinomic
BPH,Antiedemic
BPH,Antiestrogenic
BPH,Antiexudative
BPH,Antiinflammatory
BPH,Antimetastatic
BPH,Antimutagenic
BPH,Antinitrosaminic
BPH,Antioxidant
BPH,Antiperoxidant
BPH,Antiprostaglandigenic
BPH,Antiprostaglandin
BPH,Antiprostatadenomic
BPH,Antiprostatitic
BPH,Antiprostatotic
BPH,Antispasmodic
BPH,Antistress
BPH,Antitumor
BPH,Antitumor (Breast) (Lung) (Prostate)
BPH,Antitumor (Breast) (Prostate)
BPH,Antitumor-Initiator
BPH,Antitumor-Promoter
BPH,Arachidonic-Acid-Inhibitor
BPH,Aromatase-Inhibitor
BPH,COX-2-Inhibitor
BPH,Cancer-Preventive
BPH,Cancerostatic
BPH,Chemopreventive
BPH,Cyclooxygenase-Inhibitor
BPH,DHT-Binding-Inhibitor
BPH,Down regulation of nuclear and cytosol androgen re
BPH,Estrogen-Agonist
BPH,Estrogenic (Weak)
BPH,Immunostimulant
BPH,Lipoxygenase-Inhibitor
BPH,Nervine
BPH,Phospholipase-A2--Inhibitor
BPH,Prostaglandin-Synthesis-Inhibitor
BPH,Prostaglandin-Synthetase-Inhibitor
BPH,Protease-Inhibitor
BPH,Reduce growth-factor-induced prostatic proliferati
BPH,Reduce prolactin-induced prostatic growth
BPH,Tyrosine-Kinase-Inhibitor
Backache,Analgesic
Backache,Anesthetic
Backache,Antiarthritic
Backache,Antiinflammatory
Backache,Antinociceptive
Backache,Antirheumatalgic
Backache,Antirheumatic
Backache,Antispasmodic
Backache,COX-2-Inhibitor
Backache,Counterirritant
Backache,Cyclooxygenase-Inhibitor
Backache,Myorelaxant
Backache,Nervine
Backache,Sedative
Backache,Spasmolytic
Backache,Tranquilizer
Breast Feeding Problems,Antianxiety
Breast Feeding Problems,Anxiolytic
Breast Feeding Problems,Balance Prolactin Production
Breast Feeding Problems,Diaphoretic
Breast Feeding Problems,Galactagogue
Breast Feeding Problems,Hormone Balancing
Breast Feeding Problems,Hyperprolactinemic
Breast Feeding Problems,Increase Prolactin Production
Bronchitis,Antibacterial
Bronchitis,Antibiotic
Bronchitis,Antibronchitic
Bronchitis,Antibronchoconstrictor
Bronchitis,Anticandidosis
Bronchitis,Antihistaminic
Bronchitis,Antiinflammatory
Bronchitis,Antioxidant
Bronchitis,Antipharyngitic
Bronchitis,Antipyretic
Bronchitis,Antispasmodic
Bronchitis,Antitussive
Bronchitis,Antiviral
Bronchitis,Bronchodilator
Bronchitis,Bronchorelaxant
Bronchitis,Bronchospasmolytic
Bronchitis,Bronchotonic
Bronchitis,COX-2-Inhibitor
Bronchitis,Candidicide
Bronchitis,Candidistat
Bronchitis,Cyclooxygenase-Inhibitor
Bronchitis,Decongestant
Bronchitis,Expectorant
Bronchitis,Immunostimulant
Bronchitis,Interferonogenic
Bronchitis,MDR-Inhibitor
Bronchitis,Phagocytotic
Bronchitis,Spasmolytic
Bruises,Analgesic
Bruises,Anesthetic
Bruises,Anticapillary-Fragility
Bruises,Antiedemic
Bruises,Antiinflammatory
Bruises,Antinociceptive
Bruises,Antiscorbutic
Bruises,Astringent
Bruises,COX-2-Inhibitor
Bruises,Capillary-Tonic
Bruises,Coagulant
Bruises,Counterirritant
Bruises,Cyclooxygenase-Inhibitor
Bruises,Fibrinolysis Enzyme Activator
Bruises,Fibrinolysis Promoter
Bruises,Fibrinolytic
Bruises,Glycosaminoglycan-Sparing
Bruises,Improve Capillary Fragility
Bruises,Myorelaxant
Bruises,Plasminogen-Activating
Bruises,Proteolytic
Bruises,Vulnerary
Burns,Analgesic
Burns,Anesthetic
Burns,Antibacterial
Burns,Antibiotic
Burns,Antiedemic
Burns,Antiinflammatory
Burns,Antinociceptive
Burns,Antioxidant
Burns,Antiseptic
Burns,Bacteristat
Burns,COX-2-Inhibitor
Burns,Cyclooxygenase-Inhibitor
Burns,Free-Radical Scavenging
Burns,Fungicide
Burns,Immunostimulant
Burns,Inhibit PAF
Burns,MDR-Inhibitor
Burns,PAF-Antagonist
Burns,PAF-Inhibitor
Burns,Platelet-Activating-Factor-Inhibitor
Burns,Vulnerary
Cancer,5-Alpha-Reductase-Inhibitor
Cancer,AHH-Inhibitor
Cancer,Adaptogenic
Cancer,Adenylate-Cyclase-Activator
Cancer,Adjuvant
Cancer,Alpha-Reductase-Inhibitor
Cancer,AntiEBV
Cancer,AntiHIV
Cancer,AntiHodgkin's
Cancer,AntiKaposi's
Cancer,AntiX-Radiation
Cancer,Antiadenocarcinoma
Cancer,Antiadenocarcinomic
Cancer,Antiadenomacarcinogenic
Cancer,Antiadenomacarcinomic
Cancer,Antiadenomic
Cancer,Antiaflatoxin
Cancer,Antiaggregant
Cancer,Antiaging
Cancer,Antiandrogenic
Cancer,Antiangiogenic
Cancer,Antianxiety
Cancer,Antiarachidonate
Cancer,Anticancer
Cancer,Anticancer (Bladder)
Cancer,Anticancer (Breast)
Cancer,Anticancer (Cervix)
Cancer,Anticancer (Colon)
Cancer,Anticancer (Duodenum)
Cancer,Anticancer (Forestomach)
Cancer,Anticancer (Kidney)
Cancer,Anticancer (Liver)
Cancer,Anticancer (Mammary)
Cancer,Anticancer (Oral)
Cancer,Anticancer (Pancreas)
Cancer,Anticancer (Prostate)
Cancer,Anticancer (Skin)
Cancer,Anticancer (Stomach)
Cancer,Anticarcinogenic
Cancer,Anticarcinomic
Cancer,Anticarcinosarcomic
Cancer,Anticervicaldysplasic
Cancer,Antichoriocarcinomic
Cancer,Anticollagenase
Cancer,Anticytotoxic
Cancer,Antiestrogenic
Cancer,Antifibrosarcomic
Cancer,Antigliomic
Cancer,Antihepatocarcinogenic
Cancer,Antihepatotoxic
Cancer,Antiinflammatory
Cancer,Antileukemic
Cancer,Antileukoplakic
Cancer,Antileukotriene
Cancer,Antilipoperoxidant
Cancer,Antilymphomic
Cancer,Antilymphosarcomic
Cancer,Antimelanomic
Cancer,Antimetaplastic
Cancer,Antimetastatic
Cancer,Antimicrobial
Cancer,Antimitotis
Cancer,Antimutagenic
Cancer,Antineoplastic
Cancer,Antinesidioblastosic
Cancer,Antineuroblastomic
Cancer,Antinitrosaminic
Cancer,Antiosteosarcomic
Cancer,Antioxidant
Cancer,Antioxidant Synergist
Cancer,Antiperoxidant
Cancer,Antiperoxidative
Cancer,Antipolyp
Cancer,Antiprolactin
Cancer,Antiproliferant
Cancer,Antiproliferative
Cancer,Antipromoter
Cancer,Antiprostaglandigenic
Cancer,Antiprostaglandin
Cancer,Antiradiation
Cancer,Antiretroviral
Cancer,Antisarcoma
Cancer,Antisarcomic
Cancer,Antistress
Cancer,Antithromboxane
Cancer,Antitopoisomerase-II
Cancer,Antitubulin
Cancer,Antitumor
Cancer,Antitumor-Promoter
Cancer,Antiviral
Cancer,Anxiolytic
Cancer,Apoptotic
Cancer,Arachidonic acid-Inhibitor
Cancer,Beta-Glucuronidase-Inhibitor
Cancer,COX-2-Inhibitor
Cancer,Cancer-Preventive
Cancer,Cancerostatic
Cancer,Carcinostatic
Cancer,Chemopreventive
Cancer,Complementary-Activator
Cancer,Cyclooxygenase-Inhibitor
Cancer,Cytochrome-P450-Inducer
Cancer,Cytoprotective
Cancer,Cytotoxic
Cancer,DNA-Binder
Cancer,Estrogen-Agonist
Cancer,Fibrinolytic
Cancer,Free-Radical Scavenging
Cancer,GST-Inducer
Cancer,Glutathionergic
Cancer,Glutathionigenic
Cancer,Growth-Inhibitor
Cancer,Hepatoprotective
Cancer,Hepatotonic
Cancer,Homeostatic
Cancer,Hyaluronidase-Inhibitor
Cancer,Immunostimulant
Cancer,Interferon-Synergist
Cancer,Interferonogenic
Cancer,Leucocytogenic
Cancer,Lipoxygenase-Inhibitor
Cancer,Lymphocytogenic
Cancer,Lymphogenic
Cancer,Lymphokinetic
Cancer,Mast-Cell-Stabilizer
Cancer,Membranomodulator
Cancer,Microphagocytogenic
