AGGNO,CHEM,ACTIVITY,DOSAGE,REFERENCE,MAJORACT,USERID,CREATED,MODIFIED
127218,(+)-EPIPINORESINOL,Anticomplementary,,PC29(10):3091,,DUKE,10-Dec-97,
127219,(+)-EPIPINORESINOL,Immunomodulator,,JBH,,DUKE,10-Dec-97,
127220,"(+)-EUDESMA-4(14),7(11)-DIENE-3-ONE",Antiinflammatory,,,,DUKE,10-Dec-97,
127221,(+)-EUDESMIN,Antifeedant,,382,,DUKE,10-Dec-97,
127222,(+)-EUDESMIN,Pesticide,,,,DUKE,10-Dec-97,
127223,(+)-GALBACIN,Antitubercular,,JBH,,DUKE,10-Dec-97,
127224,(+)-GALBACIN,Antibacterial,,JBH,,DUKE,10-Dec-97,27-Jul-99
127225,(+)-HERNANDEZINE,Antiinflammatory,,,,DUKE,10-Dec-97,
127226,(+)-HERNANDEZINE,Hypotensive,,,,DUKE,10-Dec-97,
127227,(+)-HERNANDEZINE,Hypothermic,,PC29(6):1895,,DUKE,10-Dec-97,
127228,(+)-ISOCORYDINE,Analgesic,,,,DUKE,10-Dec-97,
127229,(+)-ISOCORYDINE,Antiarrhythmic,,,,DUKE,10-Dec-97,
127230,(+)-ISOCORYDINE,Antihistaminic,,,,DUKE,10-Dec-97,
127231,(+)-ISOCORYDINE,Antispasmodic,,PC29(6):1895,,DUKE,10-Dec-97,28-Jul-99
127232,(+)-ISOCORYDINE,Vasodilator,,ACM:411,,DUKE,10-Dec-97,
127233,(+)-ISOLARICIRESINOL,CNS-Depressant,,,,DUKE,10-Dec-97,26-Nov-00
127234,(+)-MATRINE,Antitumor,,,,DUKE,10-Dec-97,
127235,(+)-NORTRACHELOGENIN,Antileukemic,,,,DUKE,10-Dec-97,
127236,(+)-NORTRACHELOGENIN,CNS-Depressant,,,,DUKE,10-Dec-97,
127237,(+)-PINORESINOL,Anti-cAMP-Phosphodiesterase,,,,DUKE,10-Dec-97,
127238,(+)-PINORESINOL-BETA-D-GLUCOSIDE,Anti-cAMP-Phosphodiesterase,,,,DUKE,10-Dec-97,
127239,(+)-PISATIN,Antifeedant,,382,,DUKE,10-Dec-97,
127240,(+)-PISATIN,Pesticide,,,,DUKE,10-Dec-97,
127241,(+)-PRAERUPTORUM-A,Acetyl-choline-antagonist,,,,DUKE,10-Dec-97,
127242,(+)-PRAERUPTORUM-A,Antiaggregant,,CPB38:559,,DUKE,10-Dec-97,
127243,(+)-PRAERUPTORUM-A,Calcium-Antagonist,,ACM:5,,DUKE,10-Dec-97,
127244,(+)-PSEUDOEPHEDRINE,Antiinflammatory,,,,DUKE,10-Dec-97,
127245,(+)-SYRINGARESINOL-DI-O-BETA-D-GLUCOSIDE,Antifatigue,,,,DUKE,10-Dec-97,
127246,(+)-SYRINGARESINOL-DI-O-BETA-D-GLUCOSIDE,Antistress,,CPB38:1763,,DUKE,10-Dec-97,
127247,(+)-T-CADINOL,Antidiarrheic,,,,DUKE,10-Dec-97,
127248,(+)-T-CADINOL,Antisecretory,,PM57:352,,DUKE,10-Dec-97,
127249,(+)-T-CADINOL,Antibacterial,MIC=2-24 ug/ml,PR6:94,,DUKE,10-Dec-97,27-Jul-99
127250,(+)-T-CADINOL,Myorelaxant,,PM56(6):685,,DUKE,10-Dec-97,
127251,(+)-T-CADINOL,Pesticide,,,,DUKE,10-Dec-97,
127252,(+)-T-CADINOL,Termiticide,,MUO24:1,,DUKE,10-Dec-97,
127253,(+)-TRANS-VERBENYL-ACETATE,Pesticide,,,,DUKE,10-Dec-97,
127254,(+)-TRANS-VERBENYL-ACETATE,Pheromone,,,,DUKE,10-Dec-97,
127255,(+)-VESTITONE,Fungicide,,,,DUKE,10-Dec-97,
127256,(+)-VESTITONE,Pesticide,,,,DUKE,10-Dec-97,
146424,MENTHOL,CNS-Depressant,,,,DUKE,17-Sep-98,
146425,MENTHOL,CNS-Stimulant,,KCH,,DUKE,17-Sep-98,
146426,MENTHOL,Calcium-Antagonist,,JAR4:22 K10517,,DUKE,17-Sep-98,10-Mar-00
146427,MENTHOL,Carminative,,JPP46:16,,DUKE,17-Sep-98,
146428,MENTHOL,Ciliotoxic,,JPP46:16,,DUKE,17-Sep-98,
146429,MENTHOL,Congestant,,JPP46:16,,DUKE,17-Sep-98,
146430,MENTHOL,Convulsant,,RJH,,DUKE,17-Sep-98,
146431,MENTHOL,Counterirritant,,,,DUKE,17-Sep-98,
146432,MENTHOL,Decongestant?,11 mg/man,JPP42:652,,DUKE,17-Sep-98,24-Sep-98
146433,MENTHOL,Dermatitigenic,,M&R654,,DUKE,17-Sep-98,24-Sep-98
146434,MENTHOL,Diaphoretic,,KCH,,DUKE,17-Sep-98,
146435,MENTHOL,Enterorelaxant,,JAR4:22,,DUKE,17-Sep-98,
146436,MENTHOL,Expectorant,,JPP46:16,,DUKE,17-Sep-98,
146437,MENTHOL,Gastrosedative,,M11,,DUKE,17-Sep-98,
146438,MENTHOL,Irritant,,JPP46:16,,DUKE,17-Sep-98,
146439,MENTHOL,Myorelaxant,,M29,,DUKE,17-Sep-98,
146440,MENTHOL,Nematicide,MLC=1 mg/ml,SZ44:183,,DUKE,17-Sep-98,
146441,MENTHOL,Neurodepressant,,JPP46:16,,DUKE,17-Sep-98,
146442,MENTHOL,Neuropathogenic,40-100 mg/day/rat,JPP46:16,,DUKE,17-Sep-98,
146443,MENTHOL,Nociceptive,,JPP46:16,,DUKE,17-Sep-98,
146444,MENTHOL,Perfumery,,M11,,DUKE,17-Sep-98,
146445,MENTHOL,Pesticide,,,,DUKE,17-Sep-98,
146446,MENTHOL,Refrigerant,,JPP46:16,,DUKE,17-Sep-98,
146447,MENTHOL,Rubefacient,,,,DUKE,17-Sep-98,
146448,MENTHOL,Antispasmodic,ED50=0.01 mg/ml,FT59:465,,DUKE,17-Sep-98,28-Jul-99
146449,MENTHOL,Termiticide,,382,,DUKE,17-Sep-98,
146450,MENTHOL,Vibriocide,,,,DUKE,17-Sep-98,
146451,MENTHONE,Analgesic,,,,DUKE,17-Sep-98,
146452,MENTHONE,Antiseptic,2.25 x phenol,W&W,,DUKE,17-Sep-98,
146453,MENTHONE,Cancer-Preventive,,525,,DUKE,17-Sep-98,
146454,MENTHONE,Sedative,,JE25:165,,DUKE,17-Sep-98,
146455,MENTHONE,Antispasmodic,ED50=0.044 mg/ml,FT59:465,,DUKE,17-Sep-98,28-Jul-99
146456,NUCIFERINE,Antispasmodic,,,,DUKE,17-Sep-98,28-Jul-99
146457,ODORINOL,Antileukemic,,,,DUKE,17-Sep-98,
146458,PIPERITONE,Antiasthmatic,,,,DUKE,17-Sep-98,
146459,PIPERITONE,FLavor,FEMA 1-2,ARC,,DUKE,17-Sep-98,14-Jan-99
146460,PIPERITONE,Herbicide,IC50=30 mM,438,,DUKE,17-Sep-98,14-Jan-99
146461,PIPERITONE,Herbicide,IC50=75 uM,TOX,,DUKE,17-Sep-98,
146462,PIPERITONE,Insectifuge,(> DEET),JNP56:935,,DUKE,17-Sep-98,
146463,PIPERITONE,Perfumery,,ARC,,DUKE,17-Sep-98,
146464,PIPERITONE,Pesticide,,,,DUKE,17-Sep-98,
146465,PULEGONE,Antialzheimeran?,,453,,DUKE,17-Sep-98,
146466,PULEGONE,Anticholinesterase,,453,,DUKE,17-Sep-98,
146467,PULEGONE,Antihistaminic,,JPP42:295,,DUKE,17-Sep-98,
146468,PULEGONE,Antipyretic,,JE25:165.1989,,DUKE,17-Sep-98,8-Jul-99
146469,PULEGONE,Avifuge,,,,DUKE,17-Sep-98,
146470,PULEGONE,Antibacterial,,PM57:347,,DUKE,17-Sep-98,27-Jul-99
146471,PULEGONE,Cancer-Preventive,,525,,DUKE,17-Sep-98,
146472,PULEGONE,Candidicide,,PM57:347,,DUKE,17-Sep-98,8-Jul-99
146473,PULEGONE,Cerebrotoxic,orl man,JAR4:24,,DUKE,17-Sep-98,
146474,PULEGONE,Encephalopathic,80 mg/kg orl rat,LRN-JAN92,,DUKE,17-Sep-98,
146475,PULEGONE,FLavor,FEMA 5-30,ARC,,DUKE,17-Sep-98,
146476,PULEGONE,Fungicide,,PM57:347,,DUKE,17-Sep-98,
146477,PULEGONE,Glutathionalytic,,LRN-JAN92,,DUKE,17-Sep-98,
146478,PULEGONE,Hallucinogenic,,RJH,,DUKE,17-Sep-98,
146479,PULEGONE,Hepatotoxic,,PM56(2):226,,DUKE,17-Sep-98,
146480,PULEGONE,Herbicide,IC50=1.5 uM,TOX,,DUKE,17-Sep-98,
146481,PULEGONE,Insecticide,,453,,DUKE,17-Sep-98,
146482,PULEGONE,Insectifuge,,,,DUKE,17-Sep-98,
146483,PULEGONE,Nephrotoxic,,RJH,,DUKE,17-Sep-98,
146484,PULEGONE,Neurotoxic,,ARO95:24 RJH,,DUKE,17-Sep-98,8-Jul-99
146364,ISOSATIVAN,Fungicide,,,,DUKE,17-Sep-98,
146365,ISOSATIVAN,Pesticide,,,,DUKE,17-Sep-98,
146366,KAUR-16-EN-19-OIC-ACID,Antiseptic,,,,DUKE,17-Sep-98,
146367,KAUR-16-EN-19-OIC-ACID,Juvabional,,382,,DUKE,17-Sep-98,
146368,KAUR-16-EN-19-OIC-ACID,Pesticide,,,,DUKE,17-Sep-98,
146369,LIMONENE,AChE-Inhibitor,,453,,DUKE,17-Sep-98,29-Dec-00
146370,LIMONENE,Antialzheimeran?,,453,,DUKE,17-Sep-98,
146371,LIMONENE,Anticancer,,AEM401:131,,DUKE,17-Sep-98,16-Jan-01
146372,LIMONENE,Antifeedant,,JAF45:3276,,DUKE,17-Sep-98,15-Feb-99
146373,LIMONENE,Antiflu,,EMP5:195,,DUKE,17-Sep-98,
146374,LIMONENE,Antilithic,,M29:1064,,DUKE,17-Sep-98,16-Jan-01
146375,LIMONENE,Antimutagenic,,EMP6:235,,DUKE,17-Sep-98,
146376,LIMONENE,Antitumor (Breast),,AEM401:131,,DUKE,17-Sep-98,15-Feb-99
146377,LIMONENE,Antiviral,,EMP5:195 LAF,,DUKE,17-Sep-98,28-Jul-99
146378,LIMONENE,Antibacterial,,RIE12:5,,DUKE,17-Sep-98,27-Jul-99
146379,LIMONENE,Cancer-Preventive,,525,,DUKE,17-Sep-98,
146380,LIMONENE,Candidistat,,JAF40:2330,,DUKE,17-Sep-98,15-Feb-99
146381,LIMONENE,Enterocontractant,,JAR4:22,,DUKE,17-Sep-98,
146382,LIMONENE,Expectorant,,JBH HH2 TRA,,DUKE,17-Sep-98,9-May-06
146383,LIMONENE,Fungiphilic,,JAF43:2283,,DUKE,17-Sep-98,
146384,LIMONENE,Fungistat,,JAF40:2330,,DUKE,17-Sep-98,15-Feb-99
146385,LIMONENE,Herbicide,IC50=45 uM,TOX,,DUKE,17-Sep-98,15-Feb-99
146386,LIMONENE,Insecticide,0.37 uM/fly,JAF50:4576 453,,DUKE,17-Sep-98,22-May-03
146387,LIMONENE,Insectifuge,,382,,DUKE,17-Sep-98,
146388,LIMONENE,Irritant,,M11 RIN,,DUKE,17-Sep-98,6-Jan-01
146389,LIMONENE,Nematicide,IC=100 ug/ml,NIG,,DUKE,17-Sep-98,
146390,LIMONENE,Pesticide,,,,DUKE,17-Sep-98,
146391,LIMONENE,Sedative,ED=1-32 mg/kg,W&W,,DUKE,17-Sep-98,
146392,LIMONENE,Antispasmodic,ED50=0.197 mg/ml,FT59:465,,DUKE,17-Sep-98,28-Jul-99
146394,LOLIOLIDE,Ant-Repellent,,,,DUKE,17-Sep-98,
146395,LOLIOLIDE,Pesticide,,,,DUKE,17-Sep-98,
146396,MATAIRESINOL,cAMP-Phosphodiesterase-Inhibitor,,PM56(1):91,,DUKE,17-Sep-98,
146397,MEDICARPIN,Anxiolytic,,IJO16:4,,DUKE,17-Sep-98,
146398,MEDICARPIN,Antibacterial,ED50=10 ug/ml,438,,DUKE,17-Sep-98,27-Jul-99
146399,MEDICARPIN,Fungicide,ED50=25-66 ug/ml,JLI,,DUKE,17-Sep-98,5-Feb-99
146400,MEDICARPIN,Fungicide,MIC=100 ug/ml,PM57:A13,,DUKE,17-Sep-98,5-Feb-99
146401,MEDICARPIN,Pesticide,,,,DUKE,17-Sep-98,
146402,MEDICARPIN,Tranquilizer?,,IJO16:4,,DUKE,17-Sep-98,
146403,MENTHOL,Allergenic,,M29,,DUKE,17-Sep-98,
146404,MENTHOL,Analgesic,,MAR,,DUKE,17-Sep-98,
146405,MENTHOL,Anesthetic,"2,000 ppm",JPP46:16,,DUKE,17-Sep-98,
146406,MENTHOL,Antiaggregant,IC50=750,TR42:511,,DUKE,17-Sep-98,24-Sep-98
146407,MENTHOL,Antiallergic,,JFH33(6):569,,DUKE,17-Sep-98,
146408,MENTHOL,Antibronchitic,,MAR,,DUKE,17-Sep-98,
146409,MENTHOL,Antidandruff,,ALH,,DUKE,17-Sep-98,
146410,MENTHOL,Antihalitosic,,AH12(4):17,,DUKE,17-Sep-98,
146411,MENTHOL,Antihistaminic,,JFH33(6):569,,DUKE,17-Sep-98,
146412,MENTHOL,Antiinflammatory,,MAR,,DUKE,17-Sep-98,
146413,MENTHOL,Antineuralgic,,DEP MAR,,DUKE,17-Sep-98,26-Oct-02
146414,MENTHOL,Antiodontalgic,,MAR,,DUKE,17-Sep-98,
146415,MENTHOL,Antipruritic,,JPP46:16,,DUKE,17-Sep-98,
146416,MENTHOL,Antirheumatic,,MAR,,DUKE,17-Sep-98,
146417,MENTHOL,Antiseptic,4 x phenol,W&W,,DUKE,17-Sep-98,
146418,MENTHOL,Antisinusitic,,MAR,,DUKE,17-Sep-98,
146419,MENTHOL,Antibacterial,MIC=0.625-2.5,X12083863 JPP46:16,,DUKE,17-Sep-98,9-May-06
146420,MENTHOL,Bradycardic,65 mg/3 x day/woman,MAR,,DUKE,17-Sep-98,24-Jan-01
146421,MENTHOL,Bronchomucolytic,,ACM:200,,DUKE,17-Sep-98,
146422,MENTHOL,Bronchomucotropic,,JPP46:16,,DUKE,17-Sep-98,
146423,MENTHOL,Bronchorrheic,,ACM:200,,DUKE,17-Sep-98,
146313,EPICATECHIN,Lipoxygenase-Inhibitor,IC50=140 uM,PCF,,DUKE,17-Sep-98,
146314,EPICATECHIN,Lipoxygenase-Inhibitor,IC97=5 mM,JAF38:688,,DUKE,17-Sep-98,
146315,EPICATECHIN,Pancreatogenic,,,,DUKE,17-Sep-98,
146316,EPICATECHIN,Pesticide,,,,DUKE,17-Sep-98,
146317,EPICATECHIN,Xanthine-Oxidase-Inhibitor,IC50=>40,CPB38:1225 MAB,,DUKE,17-Sep-98,1-May-01
146318,EPICATECHIN-3-O-GALLATE,Antioxidant,IC50=0.16 ug/ml,CPB38:1049,,DUKE,17-Sep-98,
146319,EPICATECHIN-GALLATE,Antihepatotoxic,,PCF:93,,DUKE,17-Sep-98,
146321,EPICATECHIN-GALLATE,Antimutagenic,,PCF:146,,DUKE,17-Sep-98,
146322,EPICATECHIN-GALLATE,Antioxidant,>10 x tocopherol,PCF:142,,DUKE,17-Sep-98,
146323,EPICATECHIN-GALLATE,Antiperoxidant,,PCF:93,,DUKE,17-Sep-98,
146324,EPICATECHIN-GALLATE,Cancer-Preventive,,525,,DUKE,17-Sep-98,
146325,EPICATECHIN-GALLATE,Lipoxygenase-Inhibitor,IC50=18 uM,PCF,,DUKE,17-Sep-98,
146326,EPICATECHIN-GALLATE,Xanthine-Oxidase-Inhibitor,IC50=>40,CPB38:1225,,DUKE,17-Sep-98,
146327,EPIGALLOCATECHIN,Antimutagenic,,EMP6:235,,DUKE,17-Sep-98,
146328,EPIGALLOCATECHIN,Antioxidant,IC50=1.4 ug/ml,CPB38:1049,,DUKE,17-Sep-98,
146329,EPIGALLOCATECHIN,Antiradicular,,PCF:96,,DUKE,17-Sep-98,
146330,EPIGALLOCATECHIN,Lipoxygenase-Inhibitor,IC50=21 uM,PCF,,DUKE,17-Sep-98,
146331,EPIGALLOCATECHIN,Xanthine-Oxidase-Inhibitor,IC50=>40,CPB38:1225,,DUKE,17-Sep-98,
146332,EPIGALLOCATECHIN-3-O-GALLATE,Antiischemic,,JOP10:493,,DUKE,17-Sep-98,
146333,EPIGALLOCATECHIN-3-O-GALLATE,Antioxidant,IC50=0.14 ug/ml,CPB38:1049,,DUKE,17-Sep-98,
146334,EPIGALLOCATECHIN-3-O-GALLATE,Antiretinopathic,,JOP10:493,,DUKE,17-Sep-98,
146339,EPIGALLOCATECHIN-GALLATE,Antitumor,,PCF:21,,DUKE,17-Sep-98,
146342,GLYCEOCARPIN,Fungicide,ED50=50-100,JLI,,DUKE,17-Sep-98,
146343,GLYCEOCARPIN,Pesticide,,,,DUKE,17-Sep-98,
146344,GLYCEOCARPIN,Phytoalexin,,JLI,,DUKE,17-Sep-98,
146345,GLYCEOFURAN,Fungicide,ED50=>100,JLI,,DUKE,17-Sep-98,
146346,GLYCEOFURAN,Pesticide,,,,DUKE,17-Sep-98,
146347,GLYCEOFURAN,Phytoalexin,,JLI,,DUKE,17-Sep-98,
146348,GLYCINOL,Fungicide,ED50=50->100,JLI JBH,,DUKE,17-Sep-98,
146349,GLYCINOL,Pesticide,,,,DUKE,17-Sep-98,
146350,GLYCINOL,Phytoalexin,,JBH,,DUKE,17-Sep-98,
146351,GRANDISIN,Artemicide,,JNP54:1681,,DUKE,17-Sep-98,
146353,INOSITOL,Antialopecic,,,,DUKE,17-Sep-98,
146354,INOSITOL,Anticirrhotic,,,,DUKE,17-Sep-98,
146355,INOSITOL,Antidiabetic?,,M29,,DUKE,17-Sep-98,
146356,INOSITOL,Antineuropathic?,2 g/day,WER,,DUKE,17-Sep-98,22-May-03
146357,INOSITOL,Cholesterolytic,"2,000 mg/man/day",,,DUKE,17-Sep-98,28-Nov-98
146358,INOSITOL,Lipotropic,,JBH,,DUKE,17-Sep-98,
146359,INOSITOL,Sweetener,,JBH,,DUKE,17-Sep-98,
146360,ISOPULEGONE,FLavor,FEMA 5-15,ARC,,DUKE,17-Sep-98,
146361,ISOPULEGONE,Hepatotoxic,,EAHD1:153,,DUKE,17-Sep-98,31-May-99
146362,ISOPULEGONE,Perfumery,,ARC,,DUKE,17-Sep-98,
146363,ISOPULEGONE,Pulmonotoxic,,EAHD1:153,,DUKE,17-Sep-98,31-May-99
146256,CATECHIN,Hepatoprotective,,ACM:253,,DUKE,17-Sep-98,
146257,CATECHIN,Hypocholesterolemic,,JNP54:218,,DUKE,17-Sep-98,
146258,CATECHIN,Immunostimulant,,PAM,,DUKE,17-Sep-98,
146259,CATECHIN,Lipoxygenase-Inhibitor,IC96=5 mM,JAF38:688,,DUKE,17-Sep-98,
146260,CATECHIN,Pesticide,,,,DUKE,17-Sep-98,
146262,CENTROLOBINE,Antiseptic,,JBH,,DUKE,17-Sep-98,
146263,CENTROLOBINE,Pesticide,,,,DUKE,17-Sep-98,
146264,CLANDESTACARPIN,Fungicide,ED50=<50,JLI,,DUKE,17-Sep-98,
146265,CLANDESTACARPIN,Pesticide,,,,DUKE,17-Sep-98,
146266,CLANDESTACARPIN,Phytoalexin,,JLI,,DUKE,17-Sep-98,
146267,CORYPALMINE,Antioxidant,IC50=49->100 ug/ml,,,DUKE,17-Sep-98,
146268,CORYPALMINE,Antiradicular,,PM56(6):645,,DUKE,17-Sep-98,
146269,CRISTACARPIN,Antibacterial,,JBH,,DUKE,17-Sep-98,27-Jul-99
146270,CRISTACARPIN,Fungicide,ED50=<50,JLI,,DUKE,17-Sep-98,
146271,CRISTACARPIN,Pesticide,,,,DUKE,17-Sep-98,
146272,CRISTACARPIN,Phytoalexin,,JLI,,DUKE,17-Sep-98,
146273,DEMETHYLMEDICARPIN,Fungicide,EC50=50-100,JLI,,DUKE,17-Sep-98,
146274,DEMETHYLMEDICARPIN,Pesticide,,,,DUKE,17-Sep-98,
146275,DEMETHYLMEDICARPIN,Phytoalexin,,JLI,,DUKE,17-Sep-98,
146276,DICENTRINE,Analgesic,,,,DUKE,17-Sep-98,
146277,DICENTRINE,Anticonvulsant,,,,DUKE,17-Sep-98,
146278,DICENTRINE,Antitumor,,,,DUKE,17-Sep-98,
146279,DICENTRINE,Sedative,LD50=187,,,DUKE,17-Sep-98,
146280,DOLICHIN-A,Fungicide,ED50=>100,JLI,,DUKE,17-Sep-98,
146281,DOLICHIN-A,Pesticide,,,,DUKE,17-Sep-98,
146282,DOLICHIN-A,Phytoalexin,,JLI,,DUKE,17-Sep-98,
146283,DOLICHIN-B,Fungicide,ED50=>100,JLI,,DUKE,17-Sep-98,
146284,DOLICHIN-B,Pesticide,,,,DUKE,17-Sep-98,
146285,DOLICHIN-B,Phytoalexin,,JLI,,DUKE,17-Sep-98,
146286,EBURNAMOMINE,Hypoglycemic,,EMP6:160,,DUKE,17-Sep-98,
146287,EPICATECHIN,Allelochemic,IC100=1 mM,438,,DUKE,17-Sep-98,
146289,EPICATECHIN,AntiEBV,,EMP6:189,,DUKE,17-Sep-98,
146290,EPICATECHIN,Antianaphylactic,,EMP6:189 JBH,,DUKE,17-Sep-98,
146291,EPICATECHIN,Anticomplementary,1/2 aspirin,PM57:A48,,DUKE,17-Sep-98,
146292,EPICATECHIN,Antidiabetic,30 mg/kg rat,JE27:243 PAM,,DUKE,17-Sep-98,5-May-00
146294,EPICATECHIN,Antihepatitic,,V&D,,DUKE,17-Sep-98,
146295,EPICATECHIN,Antihyperglycemic,,JBH EMP6:189,,DUKE,17-Sep-98,
146296,EPICATECHIN,Antiinflammatory,,EMP6:189 FT63(1):3 WO2,,DUKE,17-Sep-98,1-May-01
146298,EPICATECHIN,Antileukemic,IC50=>10 ug/ml,LS55:1061 EMP6:189,,DUKE,17-Sep-98,5-May-00
146300,EPICATECHIN,Antimutagenic,,EMP6:189 JBH,,DUKE,17-Sep-98,
